name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,injured games
Aaron Cresswell,90.0,0.8113038277511961,0.16666666666666666,60.68932333200425,10.446512825624668,1.0380116959064327,1.4330683479532162,1.978929924242424,0.01672979797979798,0.01672979797979798,0.08662280701754385,2.1775318979266345,0.25511695906432746,36.504045388091434,51.86490314327486,69.36666666666666,303.18388240962247,34.5937043128655,87.67262676103138,0.16666666666666666,0.4495614035087719,13
Aaron Hunt,90.0,1.0553242553273798,0.2234771116184069,62.84294381254818,20.79562500526168,1.306299284909197,0.9543947222183704,1.181733526476882,0.11406287325695627,0.08647666636040456,0.3430069751243632,4.84841350581849,0.22006545948301195,37.762299838360775,52.560578487006644,71.03103448275864,228.64275050226257,38.448145488671756,99.9199141743038,0.8964611846633231,1.5100527502789898,3
Aaron Lennon,90.0,0.9537011235288888,0.24918032786885244,36.96250334738777,17.87091473119265,2.0367135595096104,0.9861528842597702,2.2949332838538816,0.07823931066512516,0.07823931066512516,0.0663542172575684,3.0495444729459136,0.8294085325399168,16.621977810136258,24.721262568397798,67.32,65.5263261591876,23.518295308214284,89.74586132574534,0.9321384142101736,1.7965830852017628,0
Aaron Mooy,90.0,0.8600747578689582,0.15384615384615385,72.50803316331121,16.738696938934087,2.3789538858563883,1.1689695934734758,1.6916934102143961,0.05897435897435897,0.03846153846153847,0.12801592500358305,2.1907375805226272,0.18893387314439947,46.76962196985175,62.10983693785371,73.82820512820513,234.69294985399074,46.4509377270777,106.6128561105756,0.4552279704800974,0.7684642837164107,0
Aaron Ramsey,90.0,2.9368771093905104,1.2713768115942028,74.38334838982574,16.396221153760678,1.4666666666666668,1.1049768281878278,0.9630434782608696,0.2847463768115942,0.2847463768115942,0.2408689355485823,3.3957921548451906,0.7660498875485585,51.28775885869936,61.979144109707576,82.47083333333335,224.3013206006892,57.42569658963964,166.86460118629603,1.1059701492537313,1.8663868159203985,19
Abdallah Ndour,90.0,0.0,0.0,79.86607142857143,14.696428571428573,2.607142857142857,0.6071428571428572,4.383928571428571,0.0,0.0,0.30625,12.25,0.0,48.089285714285715,61.22321428571429,71.125,341.67857142857144,46.48214285714286,414.50892857142856,0.0,0.0,3
Abdelhamid Sabiri,90.0,3.811630421722936,0.0,52.08713204373423,14.96712723777484,3.0413793103448286,0.21951219512195125,1.7052264808362367,0.09064039408866996,0.09064039408866996,0.04390243902439025,1.9454283311306024,0.21951219512195125,21.69470142977292,35.39091673675357,60.24000000000001,80.31164243662141,29.26891745764749,72.69801754175177,0.2857142857142857,2.685714285714286,8
Abdou Diallo,90.0,0.4814814814814815,0.1111111111111111,55.520467836257325,12.987329434697855,2.3401559454191028,2.212475633528265,1.7105263157894737,0.0851851851851852,0.0851851851851852,0.03333333333333333,0.9259259259259259,0.14814814814814814,33.59356725146199,44.611111111111114,74.05555555555556,332.130604288499,32.10526315789474,123.729044834308,1.2962962962962965,1.7407407407407407,0
Abdoul Camara,90.0,1.5301401684155442,0.4575892857142857,46.225694411738736,10.459026531464103,0.7354542778649922,0.534823603273778,0.4605430988184748,0.098941163003663,0.098941163003663,0.3210746020896397,2.1676954242490125,0.5844155844155844,25.58510323096382,35.560236937813066,71.52142857142857,99.0876126006382,37.66247255832773,204.87826603511704,1.7443429082865614,2.3531864457015272,0
Abdoulaye Bamba,90.0,0.2222222222222222,0.05555555555555555,58.21405228758171,8.347222222222221,1.0555555555555556,0.7810457516339869,1.457516339869281,0.0,0.0,0.01666666666666667,1.4583333333333333,0.1111111111111111,38.0735294117647,50.343954248366025,75.5222222222222,295.7581699346405,35.05882352941176,103.88071895424835,0.6666666666666666,0.9444444444444444,0
