,name,Round,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
18204,Ximo-Navarro-,,,,,,,,,,,,,,,,,,,,,,
18205,Ximo-Navarro-,Matchweek 9,90,0,0,39,3,0,5,1,0.0,0.0,0.0,0,0,20,27,74.1,143,22,81,0,0
18206,Ximo-Navarro-,,,,,,,,,,,,,,,,,,,,,,
18207,Ximo-Navarro-,Matchweek 10,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18208,Ximo-Navarro-,Matchweek 11,90,0,0,52,3,1,4,6,0.0,0.0,0.0,0,0,28,40,70.0,211,36,146,1,2
18209,Ximo-Navarro-,Matchweek 12,90,0,0,75,6,2,2,1,0.0,0.0,0.0,0,0,59,67,88.1,331,63,222,2,2
18210,Ximo-Navarro-,Matchweek 13,27,0,0,13,0,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,85,8,23,0,0
18211,Ximo-Navarro-,Round of 32,90,,,,,,,,,,,,,,,,,,,,
18212,Ximo-Navarro-,Matchweek 14,14,0,0,7,2,0,1,0,0.0,0.0,0.0,0,0,7,7,100.0,24,5,3,0,0
18213,Ximo-Navarro-,Matchweek 15,90,1,0,63,12,2,3,1,0.0,0.0,0.0,0,0,41,50,82.0,203,40,78,1,1
18214,Ximo-Navarro-,Matchweek 16,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18215,Ximo-Navarro-,Matchweek 17,90,0,0,55,5,0,2,0,0.0,0.0,0.0,0,0,42,47,89.4,312,43,181,1,2
18216,Ximo-Navarro-,Round of 16,18,,,,,,,,,,,,,,,,,,,,
18217,Ximo-Navarro-,Matchweek 18,90,0,0,56,9,0,4,0,0.0,0.0,0.0,0,0,33,45,73.3,192,29,84,1,1
18218,Ximo-Navarro-,Round of 16,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18219,Ximo-Navarro-,Matchweek 19,90,0,0,50,15,3,2,1,0.0,0.0,0.0,0,0,32,43,74.4,226,30,80,0,0
18220,Ximo-Navarro-,Matchweek 20,90,0,0,65,11,2,1,3,0.0,0.0,0.0,0,0,44,53,83.0,333,44,105,1,1
18221,Ximo-Navarro-,Matchweek 21,90,1,0,53,14,2,2,0,0.0,0.0,0.0,1,0,41,46,89.1,233,38,111,1,1
18222,Ximo-Navarro-,Matchweek 22,90,0,0,71,20,3,1,1,0.0,0.0,0.0,0,0,53,61,86.9,363,48,249,0,0
18223,Ximo-Navarro-,Matchweek 23,90,0,0,38,17,2,2,2,0.0,0.0,0.0,0,0,23,30,76.7,156,21,28,0,0
18224,Ximo-Navarro-,,,,,,,,,,,,,,,,,,,,,,
18225,Ximo-Navarro-,Matchweek 25,90,0,0,62,8,4,1,3,0.0,0.0,0.0,1,0,39,47,83.0,293,38,188,0,0
18226,Ximo-Navarro-,Matchweek 26,90,0,0,42,21,1,5,2,0.0,0.0,0.1,1,0,22,34,64.7,221,25,150,3,3
18227,Ximo-Navarro-,Matchweek 27,90,0,0,41,9,3,4,3,0.0,0.0,0.0,0,0,23,31,74.2,163,19,55,0,0
18228,Ximo-Navarro-,Matchweek 28,90,0,0,72,4,0,1,2,0.0,0.0,0.0,2,0,56,66,84.8,403,53,193,0,0
18229,Ximo-Navarro-,Matchweek 29,90,0,0,50,12,2,5,2,0.0,0.0,0.0,0,0,30,37,81.1,252,26,115,0,0
18230,Ximo-Navarro-,Matchweek 30,90,0,0,50,8,0,1,0,0.0,0.0,0.0,0,0,41,45,91.1,280,39,128,1,1
18231,Ximo-Navarro-,,,,,,,,,,,,,,,,,,,,,,
18232,Ximo-Navarro-,Matchweek 32,90,0,0,64,2,1,4,2,0.0,0.0,0.0,0,0,51,56,91.1,352,46,90,1,1
18233,Ximo-Navarro-,Matchweek 33,90,0,0,36,9,3,3,2,0.0,0.0,0.0,0,0,19,26,73.1,134,27,158,1,1
18234,Ximo-Navarro-,Matchweek 34,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18235,Ximo-Navarro-,Matchweek 35,90,0,0,33,11,3,0,1,0.0,0.0,0.0,0,0,20,27,74.1,191,18,37,0,0
18236,Ximo-Navarro-,Matchweek 36,90,0,0,83,9,3,0,1,0.0,0.0,0.0,3,0,61,73,83.6,390,59,173,4,5
18237,Ximo-Navarro-,Matchweek 37,90,0,0,57,9,1,1,2,0.0,0.0,0.0,0,0,35,46,76.1,185,29,91,0,0
18238,Ximo-Navarro-,Matchweek 38,45,0,0,25,4,0,0,0,0.0,0.0,0.0,0,0,21,23,91.3,152,23,75,0,0
18239,Ximo-Navarro-,,2714,3,1,1605,289,49,69,51,0.1,0.1,0.3,13,1,1099,1342,81.9,7618,1074,3685,20,23
18240,Michel-,Matchweek 1,5,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,18,8,24,0,0
18241,Michel-,Matchweek 2,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18242,Michel-,Matchweek 3,90,0,0,59,9,0,2,2,0.0,0.0,0.0,0,0,37,54,68.5,399,25,60,0,0
18243,Michel-,Matchweek 4,90,0,0,49,3,0,1,1,0.0,0.0,0.2,1,0,34,43,79.1,125,29,64,0,0
18244,Michel-,Matchweek 5,90,0,0,50,10,0,1,1,0.0,0.0,0.1,1,0,33,45,73.3,407,27,67,0,0
18245,Michel-,Matchweek 6,76,0,0,58,4,0,0,1,0.0,0.0,0.0,0,0,47,56,83.9,273,42,93,0,0
18246,Michel-,Matchweek 7,90,0,0,64,11,0,3,3,0.0,0.0,0.0,0,0,46,58,79.3,231,50,114,0,0
18247,Michel-,Matchweek 8,62,0,0,32,3,0,0,2,0.0,0.0,0.0,1,0,28,29,96.6,101,24,49,0,0
18248,Michel-,Matchweek 9,90,1,0,55,10,0,1,1,0.0,0.0,0.0,2,0,41,46,89.1,360,40,143,0,0
18249,Michel-,,,,,,,,,,,,,,,,,,,,,,
18250,Michel-,Matchweek 10,90,1,0,79,19,1,2,3,0.1,0.1,0.0,0,0,63,71,88.7,505,60,71,0,0
18251,Michel-,Matchweek 11,90,0,0,44,14,2,1,3,0.0,0.0,0.1,2,0,28,34,82.4,221,27,75,1,3
18252,Michel-,Matchweek 12,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18253,Michel-,Matchweek 13,90,1,1,45,13,4,1,1,0.1,0.1,0.0,0,0,32,38,84.2,238,32,89,1,1
18254,Michel-,Round of 32,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18255,Michel-,Matchweek 14,90,1,0,65,4,1,2,4,0.1,0.1,0.7,6,0,43,53,81.1,259,45,124,2,3
18256,Michel-,Matchweek 15,90,0,0,52,13,0,1,1,0.0,0.0,0.0,0,0,35,43,81.4,191,37,85,2,3
18257,Michel-,Matchweek 16,90,1,0,95,11,2,2,4,0.0,0.0,0.1,3,1,73,87,83.9,450,70,165,1,1
18258,Michel-,Matchweek 17,21,0,0,23,0,0,1,0,0.0,0.0,0.0,2,0,16,21,76.2,83,16,39,0,0
18259,Michel-,,,,,,,,,,,,,,,,,,,,,,
18260,Michel-,Matchweek 22,86,1,1,60,12,0,1,3,0.0,0.0,0.0,0,0,32,47,68.1,195,36,82,1,1
18261,Michel-,Matchweek 23,90,0,0,55,9,0,1,0,0.0,0.0,0.0,0,0,37,51,72.5,236,34,79,0,0
18262,Michel-,Matchweek 24,90,1,0,52,10,0,1,0,0.0,0.0,0.2,2,0,35,46,76.1,293,37,72,1,1
18263,Michel-,Matchweek 25,90,0,0,49,7,3,1,2,0.0,0.0,0.0,0,0,25,40,62.5,165,31,65,1,2
18264,Michel-,Matchweek 26,14,0,0,6,2,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,64,4,17,0,0
18265,Michel-,Matchweek 27,90,0,0,49,17,3,7,4,0.0,0.0,0.0,1,0,29,40,72.5,203,29,79,0,0
18266,Michel-,Matchweek 28,79,0,0,44,4,2,2,1,0.0,0.0,0.2,2,0,30,35,85.7,179,26,79,0,0
18267,Michel-,Matchweek 29,58,0,0,43,4,2,3,1,0.0,0.0,0.0,2,0,26,34,76.5,140,26,84,0,0
18268,Michel-,Matchweek 30,45,0,0,28,6,3,2,2,0.0,0.0,0.0,1,0,18,21,85.7,129,14,34,0,1
18269,Michel-,,,,,,,,,,,,,,,,,,,,,,
18270,Michel-,Matchweek 33,85,0,0,40,1,1,2,1,0.0,0.0,0.0,0,0,27,34,79.4,123,28,24,0,0
18271,Michel-,,,,,,,,,,,,,,,,,,,,,,
18272,Michel-,Matchweek 35,74,0,0,33,5,0,0,1,0.0,0.0,0.0,0,0,27,31,87.1,258,22,39,0,0
18273,Michel-,Matchweek 36,90,0,0,64,5,2,2,0,0.0,0.0,0.1,5,0,42,56,75.0,284,37,111,2,3
18274,Michel-,Matchweek 37,90,0,0,70,8,3,2,1,0.0,0.0,0.0,3,0,46,66,69.7,283,42,63,2,2
18275,Michel-,Matchweek 38,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18276,Michel-,,2135,7,2,1373,214,29,42,43,0.4,0.4,1.8,34,1,940,1194,78.7,6413,898,2090,14,21
18277,Dani-Castellano-,Matchweek 1,90,0,0,52,31,3,3,4,0.0,0.0,0.0,0,0,30,36,83.3,161,26,128,0,1
18278,Dani-Castellano-,Matchweek 2,90,0,0,65,9,2,3,4,0.0,0.0,0.0,3,0,47,53,88.7,154,48,180,1,4
18279,Dani-Castellano-,Matchweek 3,90,0,0,60,18,2,2,5,0.0,0.0,0.2,2,2,39,49,79.6,298,44,223,6,7
18280,Dani-Castellano-,Matchweek 4,90,0,0,67,12,2,2,5,0.0,0.0,0.1,4,1,41,57,71.9,253,43,192,0,1
18281,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18282,Dani-Castellano-,Matchweek 8,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18283,Dani-Castellano-,Matchweek 9,90,0,0,55,10,2,0,1,0.0,0.0,0.0,2,0,41,49,83.7,381,35,133,1,1
18284,Dani-Castellano-,Round of 32,90,,,,,,,,,,,,,,,,,,,,
18285,Dani-Castellano-,Matchweek 10,90,0,0,66,13,1,3,3,0.0,0.0,0.0,1,0,43,52,82.7,357,44,113,3,4
18286,Dani-Castellano-,Matchweek 11,90,0,0,48,10,0,3,4,0.0,0.0,0.0,0,0,30,37,81.1,176,33,139,2,2
18287,Dani-Castellano-,Matchweek 12,90,0,0,52,11,0,0,3,0.0,0.0,0.0,1,0,37,45,82.2,237,38,176,0,0
18288,Dani-Castellano-,Matchweek 13,90,0,0,51,12,5,2,2,0.0,0.0,0.0,0,0,22,29,75.9,127,27,120,1,1
18289,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18290,Dani-Castellano-,Matchweek 14,90,0,0,44,5,0,1,1,0.0,0.0,0.0,1,0,34,37,91.9,92,36,92,2,3
18291,Dani-Castellano-,Matchweek 15,90,0,0,76,9,1,2,3,0.0,0.0,0.0,0,0,58,66,87.9,297,58,146,0,0
18292,Dani-Castellano-,Matchweek 16,90,1,0,92,11,0,1,1,0.0,0.0,0.0,1,0,70,83,84.3,330,81,292,3,4
18293,Dani-Castellano-,Matchweek 17,90,1,0,56,17,3,1,3,0.0,0.0,0.1,1,0,39,45,86.7,274,41,101,0,0
18294,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18295,Dani-Castellano-,Matchweek 18,90,0,0,55,7,5,1,6,0.0,0.0,0.0,0,0,26,41,63.4,297,23,49,1,1
18296,Dani-Castellano-,Round of 16,73,,,,,,,,,,,,,,,,,,,,
18297,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18298,Dani-Castellano-,Matchweek 20,90,1,0,60,4,0,3,1,0.0,0.0,0.0,1,0,32,49,65.3,289,35,89,1,3
18299,Dani-Castellano-,Matchweek 21,80,0,0,42,11,0,0,2,0.0,0.0,0.0,1,0,25,36,69.4,194,25,67,0,0
18300,Dani-Castellano-,Matchweek 22,4,0,0,3,0,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,16,1,16,0,0
18301,Dani-Castellano-,Matchweek 23,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18302,Dani-Castellano-,Matchweek 24,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18303,Dani-Castellano-,Matchweek 25,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18304,Dani-Castellano-,Matchweek 26,76,0,0,31,15,1,2,2,0.0,0.0,0.0,1,0,17,26,65.4,151,16,55,1,1
18305,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18306,Dani-Castellano-,Matchweek 31,67,0,0,41,9,1,1,1,0.0,0.0,0.0,0,0,23,32,71.9,179,27,104,2,2
18307,Dani-Castellano-,Matchweek 32,90,0,0,65,19,1,4,1,0.0,0.0,0.2,3,0,43,57,75.4,341,41,227,0,1
18308,Dani-Castellano-,Matchweek 33,90,1,0,22,7,0,1,1,0.0,0.0,0.0,1,0,15,16,93.8,114,11,15,0,0
18309,Dani-Castellano-,Matchweek 34,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
18310,Dani-Castellano-,Matchweek 35,90,0,0,51,8,1,1,2,0.0,0.0,0.0,0,0,24,40,60.0,229,25,125,1,1
18311,Dani-Castellano-,,,,,,,,,,,,,,,,,,,,,,
18312,Dani-Castellano-,Matchweek 37,90,0,0,72,19,3,6,5,0.0,0.0,0.0,1,0,29,55,52.7,324,20,76,0,0
18313,Dani-Castellano-,Matchweek 38,90,0,0,49,9,1,1,3,0.0,0.0,0.0,2,0,26,40,65.0,243,30,158,1,1
18314,Dani-Castellano-,,2190,4,0,1275,276,34,43,63,0.1,0.1,0.8,26,3,793,1033,76.8,5514,808,3016,26,38
18315,Jonathan-Viera-,Matchweek 1,90,1,1,82,21,0,0,2,0.0,0.0,0.0,2,0,57,69,82.6,201,63,315,1,1
18316,Jonathan-Viera-,Matchweek 2,90,3,1,104,20,1,1,1,0.9,0.1,0.0,5,1,70,83,84.3,194,89,411,2,8
18317,Jonathan-Viera-,Matchweek 3,90,3,2,54,30,1,0,0,0.2,0.2,0.9,5,0,38,44,86.4,140,50,174,2,3
18318,Jonathan-Viera-,Matchweek 4,90,2,1,67,21,2,0,1,0.1,0.1,0.2,5,0,41,53,77.4,218,54,269,3,4
18319,Jonathan-Viera-,Matchweek 5,90,1,0,60,36,0,0,0,0.0,0.0,0.0,2,0,44,51,86.3,161,54,250,6,6
18320,Jonathan-Viera-,Matchweek 6,90,0,0,78,18,2,0,0,0.0,0.0,0.6,6,0,48,61,78.7,210,74,276,2,6
18321,Jonathan-Viera-,Matchweek 7,90,1,0,73,18,2,0,1,0.0,0.0,0.1,4,0,58,61,95.1,214,66,324,0,2
18322,Jonathan-Viera-,First round,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
