,name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
1715,Kai Havertz,23,0,0,17,1,0,2,0,0.0,0.0,0.0,0,0,10,11,90.9,25,14,96,1,1
1716,Kai Havertz,88,3,1,52,29,0,0,1,0.3,0.3,0.1,3,0,26,35,74.3,96,37,159,1,2
1717,Kai Havertz,90,1,1,65,27,1,0,1,0.0,0.0,0.1,3,0,46,52,88.5,208,47,118,0,0
1718,Kai Havertz,90,1,0,57,18,1,0,2,0.1,0.1,0.0,2,1,35,38,92.1,102,46,119,1,2
1719,Kai Havertz,85,2,2,59,15,0,1,0,0.1,0.1,0.2,3,0,40,45,88.9,155,48,192,3,5
1720,Kai Havertz,90,0,0,82,10,1,3,2,0.0,0.0,0.2,4,0,62,69,89.9,203,64,202,2,3
1721,Kai Havertz,21,1,0,31,7,0,0,1,0.1,0.1,0.0,0,0,21,27,77.8,45,25,83,0,1
1722,Kai Havertz,90,2,1,59,18,1,0,1,0.1,0.1,0.3,1,0,38,45,84.4,114,36,41,3,3
1723,Kai Havertz,87,0,0,55,20,2,1,2,0.0,0.0,0.5,3,2,34,40,85.0,70,40,48,0,1
1724,Kai Havertz,45,2,1,38,8,1,0,0,0.2,0.2,0.0,1,0,25,28,89.3,99,26,73,0,2
1725,Kai Havertz,90,2,1,64,10,1,1,0,0.2,0.2,0.1,3,0,45,52,86.5,171,50,113,1,1
1726,Kai Havertz,90,2,0,54,10,1,0,1,0.3,0.3,0.0,2,0,34,45,75.6,154,35,115,1,1
1727,Lars Stindl,90,4,3,69,31,0,0,2,0.3,0.3,0.1,9,1,50,57,87.7,169,57,123,0,0
1728,Lars Stindl,90,1,0,45,12,1,1,0,0.0,0.0,0.3,2,1,23,32,71.9,80,32,126,0,0
1729,Lars Stindl,90,2,1,54,5,0,3,1,0.1,0.1,0.1,3,0,36,44,81.8,139,42,76,0,0
1730,Lars Stindl,90,2,1,50,19,1,0,0,0.1,0.1,0.5,3,0,36,42,85.7,147,35,39,0,0
