,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,87,2,1,56,19,3,2,1,0.1,0.1,0.0,3,0,28,39,71.8,187,43,119,1,2
1,76,0,0,30,17,3,2,0,0.0,0.0,0.0,0,0,21,23,91.3,150,22,161,1,1
2,90,0,0,63,21,1,3,2,0.0,0.0,0.0,2,0,47,52,90.4,325,44,103,0,0
3,90,2,0,58,13,1,2,0,0.0,0.0,0.0,2,0,46,53,86.8,266,44,185,1,1
4,45,0,0,19,1,0,4,0,0.0,0.0,0.0,0,0,6,13,46.2,41,10,10,0,1
5,23,0,0,23,3,1,4,2,0.0,0.0,0.0,0,0,14,19,73.7,99,14,21,0,0
6,27,0,0,19,12,2,3,1,0.0,0.0,0.0,0,0,11,13,84.6,67,10,31,1,1
7,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
8,90,1,0,53,23,4,2,1,0.2,0.2,0.0,0,0,35,42,83.3,188,40,120,0,1
9,45,1,1,34,14,2,0,0,0.0,0.0,0.0,1,0,22,28,78.6,93,29,137,0,0
10,90,3,1,59,19,3,2,5,0.2,0.2,0.3,2,0,31,44,70.5,196,39,88,3,5
11,90,2,0,47,27,1,0,0,0.4,0.4,0.0,2,0,27,36,75.0,135,35,100,3,4
12,90,2,0,41,44,2,0,3,0.1,0.1,0.0,1,0,20,29,69.0,67,34,71,4,4
13,89,2,0,59,42,4,0,2,0.1,0.1,0.0,3,0,30,40,75.0,201,43,109,0,2
14,90,1,1,52,29,1,3,1,0.0,0.0,0.1,2,1,24,34,70.6,186,34,59,2,4
15,90,1,1,40,32,1,1,1,0.2,0.2,0.0,1,0,19,27,70.4,101,29,86,3,7
16,90,2,2,28,22,3,2,0,0.5,0.5,0.0,4,0,12,18,66.7,68,18,85,3,4
17,90,1,0,48,21,3,0,1,0.1,0.1,0.0,1,0,22,31,71.0,93,33,95,0,1
18,90,0,0,32,13,0,1,0,0.0,0.0,0.0,3,1,20,24,83.3,118,16,75,0,0
19,90,2,0,42,13,0,0,0,0.5,0.5,0.0,2,0,22,28,78.6,91,27,60,1,3
20,90,1,0,38,26,2,3,1,0.3,0.3,0.1,3,1,21,27,77.8,81,22,112,0,0
21,90,1,1,38,19,1,1,1,0.3,0.3,0.0,2,0,14,21,66.7,61,25,85,2,3
22,64,0,0,19,21,0,0,2,0.0,0.0,0.0,0,0,9,17,52.9,3,10,6,0,0
23,90,4,1,59,22,1,1,2,0.3,0.3,0.0,2,0,28,40,70.0,177,44,103,3,6
24,90,1,0,33,33,1,0,1,0.1,0.1,0.1,2,1,21,26,80.8,183,23,84,1,1
25,90,2,1,33,32,1,1,1,0.2,0.2,0.0,0,0,11,19,57.9,48,20,62,1,2
26,90,4,2,49,14,3,1,2,0.7,0.7,0.1,1,0,25,30,83.3,124,28,141,1,2
27,90,0,0,38,22,1,1,1,0.0,0.0,0.0,1,0,25,34,73.5,178,25,81,2,3
28,82,1,0,40,21,0,1,2,0.1,0.1,0.1,3,0,24,30,80.0,202,26,52,1,1
29,90,0,0,45,14,2,0,1,0.0,0.0,0.0,0,0,30,35,85.7,168,27,25,2,3
30,90,0,0,44,16,1,1,2,0.0,0.0,0.0,1,0,23,31,74.2,69,22,99,0,0
31,90,5,2,52,31,3,1,3,0.4,0.4,0.0,4,1,23,32,71.9,169,22,113,0,0
32,90,1,0,29,25,1,1,1,0.1,0.1,0.0,0,0,10,18,55.6,61,18,36,0,0
33,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
34,90,4,2,46,11,1,1,0,0.4,0.4,0.0,3,1,24,28,85.7,105,32,121,3,4
35,54,1,1,31,21,1,0,1,0.5,0.5,0.2,1,0,18,21,85.7,76,18,14,1,1
36,75.0,2.0,0.0,36.0,30.0,1.0,1.0,2.0,0.2,0.2,0.0,2.0,0.0,15.0,26.0,57.7,122.0,19.0,26.0,1.0,1.0
37,29.0,0.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,0.3,1.0,0.0,6.0,11.0,54.5,52.0,6.0,42.0,0.0,0.0
38,90.0,3.0,1.0,70.0,8.0,0.0,0.0,2.0,0.1,0.1,0.3,7.0,0.0,44.0,59.0,74.6,352.0,38.0,139.0,2.0,2.0
39,90.0,0.0,0.0,56.0,24.0,2.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,29.0,46.0,63.0,152.0,37.0,107.0,1.0,1.0
40,62.0,0.0,0.0,25.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,20.0,55.0,33.0,13.0,18.0,0.0,0.0
41,23.0,0.0,0.0,31.0,6.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,17.0,26.0,65.4,115.0,22.0,15.0,1.0,1.0
42,82.0,3.0,2.0,78.0,7.0,1.0,0.0,0.0,0.1,0.1,0.3,8.0,1.0,55.0,69.0,79.7,243.0,45.0,182.0,1.0,2.0
43,90.0,1.0,0.0,66.0,27.0,0.0,2.0,2.0,0.6,0.6,0.0,1.0,0.0,37.0,56.0,66.1,281.0,28.0,66.0,0.0,1.0
44,75.0,2.0,0.0,48.0,21.0,1.0,0.0,1.0,0.2,0.2,0.1,3.0,1.0,30.0,41.0,73.2,206.0,33.0,46.0,1.0,1.0
45,70.0,1.0,1.0,38.0,24.0,0.0,0.0,1.0,0.3,0.3,0.1,4.0,0.0,25.0,32.0,78.1,161.0,20.0,24.0,1.0,1.0
46,90.0,1.0,0.0,56.0,21.0,3.0,2.0,0.0,0.0,0.0,0.1,6.0,0.0,31.0,43.0,72.1,220.0,37.0,141.0,0.0,1.0
47,90.0,0.0,0.0,81.0,13.0,1.0,0.0,1.0,0.0,0.0,0.8,10.0,1.0,53.0,73.0,72.6,416.0,45.0,89.0,1.0,3.0
48,83.0,0.0,0.0,72.0,36.0,0.0,1.0,1.0,0.0,0.0,0.5,3.0,1.0,45.0,66.0,68.2,226.0,51.0,96.0,1.0,1.0
49,90.0,1.0,0.0,58.0,12.0,2.0,1.0,2.0,0.1,0.1,0.3,5.0,0.0,29.0,50.0,58.0,218.0,32.0,110.0,0.0,1.0
50,85.0,0.0,0.0,55.0,22.0,1.0,2.0,2.0,0.0,0.0,0.1,1.0,0.0,31.0,45.0,68.9,192.0,28.0,53.0,1.0,3.0
51,57.0,1.0,0.0,40.0,9.0,1.0,0.0,2.0,0.0,0.0,0.6,2.0,0.0,29.0,35.0,82.9,162.0,33.0,127.0,2.0,3.0
52,54.0,0.0,0.0,44.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,31.0,80.6,107.0,25.0,62.0,0.0,3.0
53,11.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.3,3.0,0.0,8.0,10.0,80.0,43.0,8.0,30.0,0.0,0.0
54,90.0,2.0,0.0,55.0,17.0,2.0,0.0,1.0,0.1,0.1,0.4,5.0,0.0,31.0,46.0,67.4,213.0,34.0,143.0,2.0,3.0
55,45.0,1.0,0.0,37.0,14.0,2.0,1.0,1.0,0.1,0.1,0.1,3.0,0.0,19.0,26.0,73.1,131.0,13.0,36.0,0.0,0.0
56,87.0,0.0,0.0,32.0,13.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,22.0,68.2,27.0,18.0,34.0,0.0,0.0
57,90.0,0.0,0.0,62.0,14.0,0.0,1.0,1.0,0.0,0.0,0.3,3.0,1.0,35.0,48.0,72.9,170.0,48.0,159.0,0.0,0.0
58,90.0,0.0,0.0,54.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,35.0,46.0,76.1,148.0,38.0,82.0,2.0,2.0
59,90.0,4.0,2.0,71.0,12.0,2.0,0.0,1.0,0.1,0.1,0.2,4.0,1.0,40.0,57.0,70.2,229.0,45.0,101.0,1.0,2.0
60,90.0,0.0,0.0,58.0,15.0,1.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,39.0,51.0,76.5,137.0,37.0,79.0,0.0,0.0
61,90.0,1.0,0.0,62.0,19.0,1.0,0.0,2.0,0.1,0.1,0.3,3.0,0.0,36.0,49.0,73.5,253.0,34.0,116.0,1.0,1.0
62,68.0,2.0,0.0,36.0,11.0,2.0,1.0,1.0,0.1,0.1,0.3,5.0,0.0,23.0,32.0,71.9,256.0,22.0,21.0,0.0,0.0
63,90.0,1.0,0.0,65.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,0.0,46.0,59.0,78.0,226.0,34.0,79.0,1.0,1.0
