,name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
104,Arlind Ajeti,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
105,Roberto Gagliardini,19,1,0,22,6,1,1,0,0.3,0.3,0.0,1,0,15,19,78.9,96,16,86,0,0
106,Roberto Gagliardini,45,0,0,40,8,2,0,1,0.0,0.0,0.0,0,0,28,34,82.4,124,31,43,0,0
107,Roberto Gagliardini,90,2,0,115,11,7,1,0,0.1,0.1,0.0,4,0,94,101,93.1,348,99,253,2,3
108,Roberto Gagliardini,56,0,0,58,15,1,0,0,0.0,0.0,0.0,0,0,46,55,83.6,141,50,134,0,1
109,Roberto Gagliardini,4,0,0,8,4,1,0,0,0.0,0.0,0.0,0,0,4,6,66.7,31,5,31,0,0
110,Roberto Gagliardini,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
111,Roberto Gagliardini,12,0,0,35,5,1,1,1,0.0,0.0,0.0,1,0,31,34,91.2,95,28,62,0,0
112,Roberto Gagliardini,90,0,0,38,12,2,1,0,0.0,0.0,0.0,0,0,20,29,69.0,67,18,45,0,0
113,Roberto Gagliardini,90,1,0,56,19,4,2,2,0.0,0.0,0.0,2,0,41,46,89.1,198,32,76,0,0
