,0
Marcelo,"['\xa0Muscle Injury', '\xa0Influenza', 'International match', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscular problems', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Muscular problems']"
Kepa,"['not in squad', 'not in squad', '\xa0Adductor problems', 'not in squad', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', 'not in squad', 'International match', '\xa0Adductor problems', '\xa0Adductor problems', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle']"
Kévin Rodrigues,"['not in squad', 'not in squad', 'not in squad', 'With the pros', 'International match', 'With the pros', 'With the pros', 'With the pros', 'not in squad', 'not in squad', 'not in squad']"
Daniel Wass,"['not in squad', '\xa0Knock', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Douglas Luiz,"['\xa0Yellow card suspension', 'not in squad']"
Jonny Otto,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Iker Muniain,[]
David Concha,"['\xa0Groin Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knock', '\xa0Knock', '\xa0Knock', 'not in squad', 'not in squad', 'not in squad']"
Jorge Molina,"['not in squad', 'not in squad']"
Toni Moya,[]
Salem Al-Dawsari,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Samu García,"['not in squad', 'not in squad', 'not in squad']"
Franchu,[]
Ivan Rakitic,"['\xa0Yellow card suspension', 'not in squad', '\xa0Yellow card suspension', 'not in squad']"
Bruno González,"['not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad']"
Fran Vieites,[]
