,name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,Jorge Molina,80.0,0.0,0.0,39.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,47.1,15.0,23.0,60.0,2.0,2.0
1,Jorge Molina,90.0,6.0,4.0,55.0,4.0,1.0,0.0,0.0,0.8,0.8,0.4,2.0,0.0,28.0,38.0,73.7,150.0,43.0,92.0,0.0,0.0
2,Jorge Molina,90.0,0.0,0.0,33.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,21.0,28.0,75.0,85.0,20.0,11.0,0.0,0.0
3,Jorge Molina,90.0,2.0,1.0,41.0,12.0,2.0,1.0,1.0,0.8,0.8,0.0,2.0,0.0,13.0,27.0,48.1,116.0,20.0,40.0,1.0,1.0
4,Jorge Molina,90.0,2.0,2.0,35.0,24.0,1.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,18.0,27.0,66.7,68.0,21.0,87.0,1.0,1.0
5,Jorge Molina,83.0,3.0,1.0,34.0,9.0,1.0,0.0,1.0,0.4,0.4,0.1,3.0,0.0,18.0,27.0,66.7,94.0,23.0,39.0,0.0,2.0
6,Jorge Molina,78.0,1.0,0.0,30.0,12.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.0,8.0,22.0,36.4,42.0,16.0,70.0,1.0,1.0
7,Jorge Molina,90.0,2.0,1.0,42.0,4.0,0.0,0.0,1.0,0.8,0.8,0.3,1.0,0.0,13.0,26.0,50.0,68.0,29.0,87.0,1.0,4.0
8,Jorge Molina,90.0,4.0,3.0,43.0,15.0,0.0,0.0,2.0,0.5,0.5,0.1,3.0,0.0,15.0,29.0,51.7,22.0,31.0,95.0,0.0,0.0
9,Jorge Molina,90.0,1.0,0.0,41.0,12.0,2.0,0.0,2.0,1.1,0.3,0.1,1.0,0.0,15.0,26.0,57.7,100.0,30.0,71.0,0.0,1.0
10,Jorge Molina,90.0,2.0,0.0,36.0,3.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,13.0,22.0,59.1,97.0,30.0,112.0,3.0,4.0
11,Jorge Molina,90.0,4.0,1.0,43.0,5.0,0.0,0.0,0.0,1.0,0.3,0.3,5.0,3.0,17.0,25.0,68.0,70.0,31.0,98.0,1.0,3.0
12,Jorge Molina,90.0,2.0,2.0,50.0,21.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,22.0,30.0,73.3,90.0,33.0,100.0,0.0,2.0
13,Jorge Molina,90.0,3.0,0.0,46.0,13.0,0.0,0.0,1.0,0.3,0.3,0.3,4.0,0.0,17.0,27.0,63.0,106.0,32.0,144.0,2.0,3.0
14,Jorge Molina,90.0,0.0,0.0,42.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,47.1,45.0,25.0,33.0,0.0,2.0
15,Jorge Molina,90.0,1.0,0.0,28.0,15.0,0.0,0.0,2.0,0.1,0.1,0.0,3.0,0.0,13.0,20.0,65.0,42.0,19.0,79.0,0.0,0.0
16,Jorge Molina,61.0,3.0,0.0,34.0,6.0,0.0,2.0,2.0,0.7,0.7,0.1,3.0,0.0,11.0,20.0,55.0,30.0,17.0,24.0,0.0,1.0
17,Jorge Molina,90.0,2.0,1.0,34.0,14.0,0.0,0.0,0.0,0.1,0.1,0.5,6.0,0.0,23.0,27.0,85.2,94.0,24.0,60.0,2.0,3.0
18,Jorge Molina,90.0,1.0,0.0,34.0,14.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,11.0,25.0,44.0,18.0,21.0,57.0,2.0,2.0
19,Jorge Molina,90.0,1.0,1.0,46.0,14.0,0.0,0.0,1.0,1.6,0.0,0.1,4.0,1.0,19.0,32.0,59.4,69.0,35.0,23.0,1.0,2.0
