0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Daniel Carriço, Hamstring Injury, Hamstring Injury,0,0, Muscular problems,0, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury,not in squad,not in squad,not in squad,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad
Mikel Vesga,0,0,not in squad,0,0,0,0,0,0,not in squad,0, Yellow card suspension, Knee Problems,not in squad,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,0,0
José Ángel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,not in squad,0,0,0,0,0,0
Enzo Zidane,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emmanuel Boateng,0,0,0,0,not in squad,0,0,0,not in squad,0,0,0,not in squad,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0, Cheekbone Fracture, Cheekbone Fracture,0,0,0,0,0, Yellow card suspension
Ramiro Guerra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alejandro Arribas,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aldo One,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Albentosa,not in squad,not in squad,not in squad,0,0,0,not in squad,0,0,0,0,0,0,not in squad,0,0,0,0,0, Back Injury, Back Injury,0,0,0, Thigh Problems, Thigh Problems,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension
Carlos Vela,0,0,0,0,0,not in squad,0,International match,0,0,0,not in squad,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juanmi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodrigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
