,name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,Wesley Sneijder,85,1,1,73,4,0,1,1,0.0,0.0,0.2,2,0,56,67,83.6,206,47,89,1,1
1,Wesley Sneijder,90,5,0,85,5,1,0,0,0.2,0.2,0.1,6,0,53,73,72.6,227,56,99,0,1
2,Wesley Sneijder,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
3,Wesley Sneijder,45,3,2,46,2,0,0,0,0.1,0.1,0.0,2,0,29,39,74.4,118,33,32,0,0
4,Wesley Sneijder,90,3,0,49,24,0,0,0,0.1,0.1,0.0,3,0,31,41,75.6,105,39,52,3,3
5,Wesley Sneijder,90,4,2,88,5,0,0,0,0.4,0.4,0.3,6,1,63,81,77.8,328,71,95,1,1
6,Mathieu Debuchy,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
7,Mathieu Debuchy,90,2,2,74,10,1,1,2,0.2,0.2,0.2,5,1,48,59,81.4,347,46,105,2,3
8,Mathieu Debuchy,90,0,0,92,10,1,4,6,0.0,0.0,0.2,2,0,61,81,75.3,483,46,124,0,0
9,Mathieu Debuchy,90,1,0,82,10,3,4,5,0.1,0.1,0.1,2,0,40,65,61.5,226,35,123,0,0
10,Mathieu Debuchy,90,2,1,75,14,1,0,5,0.5,0.5,0.0,1,0,41,58,70.7,308,36,156,0,3
11,Mathieu Debuchy,90,2,0,69,8,1,2,1,0.2,0.2,0.0,1,0,50,62,80.6,295,44,142,0,0
12,Mathieu Debuchy,90,1,0,40,2,2,1,2,0.3,0.3,0.0,0,0,19,22,86.4,139,19,77,0,0
13,Mathieu Debuchy,90,1,0,63,11,5,2,1,0.1,0.1,0.0,1,0,42,52,80.8,240,43,99,0,2
14,Mathieu Debuchy,75,4,1,69,9,0,5,6,0.6,0.6,0.2,4,2,32,42,76.2,251,31,40,0,0
15,Mathieu Debuchy,90,1,0,55,17,2,2,1,0.0,0.0,0.3,2,0,37,43,86.0,417,29,72,1,1
16,Mathieu Debuchy,90,2,2,79,12,0,3,7,0.2,0.2,0.0,0,0,47,59,79.7,287,41,63,0,2
17,Mathieu Debuchy,90,2,0,74,6,1,0,4,0.2,0.2,0.1,1,0,45,64,70.3,179,33,48,0,0
18,Mathieu Debuchy,90,0,0,65,11,2,2,3,0.0,0.0,0.0,0,0,30,48,62.5,350,23,37,0,1
19,Mathieu Debuchy,90,3,1,54,7,5,1,1,0.2,0.2,0.0,3,0,23,41,56.1,93,15,19,0,0
20,Mathieu Debuchy,90,1,0,40,10,2,0,0,0.1,0.1,0.4,2,0,19,32,59.4,135,17,54,2,2
21,Georges Mandjeck,90,0,0,,,,0,,,,,,,,,,,,,,
22,Georges Mandjeck,90,0,0,,,,0,,,,,,,,,,,,,,
23,Georges Mandjeck,90,0,0,,,,0,,,,,,,,,,,,,,
24,Georges Mandjeck,13,0,0,,,,0,,,,,,,,,,,,,,
25,Georges Mandjeck,43,0,0,,,,0,,,,,,,,,,,,,,
26,Georges Mandjeck,90,0,0,,,,0,,,,,,,,,,,,,,
27,Georges Mandjeck,90,0,0,,,,0,,,,,,,,,,,,,,
