,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
0,90,0,0,62,7,1,5,8,0.0,0.0,0.0,1,0,38,49,77.6,287,27,59,0,0
1,90,0,0,71,9,3,1,1,0.0,0.0,0.0,1,0,44,63,69.8,488,43,68,0,0
2,88,0,0,74,8,3,2,1,0.0,0.0,0.0,3,1,53,66,80.3,376,41,138,4,4
3,90,0,0,103,13,0,1,1,0.0,0.0,0.1,1,0,69,93,74.2,562,62,61,3,3
4,90,0,0,37,19,4,2,2,0.0,0.0,0.0,0,0,16,25,64.0,196,18,24,2,2
5,90,0,0,71,31,4,1,2,0.0,0.0,0.0,1,0,39,62,62.9,352,41,144,0,0
6,90,0,0,85,5,5,4,2,0.0,0.0,0.0,1,0,49,71,69.0,326,59,123,3,3
7,90,0,0,66,6,3,0,2,0.0,0.0,0.0,0,0,43,56,76.8,638,39,118,2,4
8,90,2,0,81,16,2,1,4,0.1,0.1,0.1,6,0,52,72,72.2,321,54,179,1,1
9,90,0,0,53,10,2,2,4,0.0,0.0,0.0,0,0,26,37,70.3,146,23,59,1,4
10,90,0,0,90,5,0,4,2,0.0,0.0,0.0,1,0,72,83,86.7,758,49,105,0,1
11,90,2,0,94,14,2,2,4,0.0,0.0,0.0,3,0,58,78,74.4,463,60,267,3,3
12,90,0,0,70,16,1,2,4,0.0,0.0,0.0,0,0,48,62,77.4,369,42,129,1,2
13,90,0,0,70,22,2,2,6,0.0,0.0,0.0,0,0,31,48,64.6,248,32,53,0,0
14,90,0,0,68,14,4,1,4,0.0,0.0,0.0,1,0,36,57,63.2,269,34,157,1,1
15,90,1,0,80,26,2,1,2,0.0,0.0,0.0,0,0,53,74,71.6,401,39,231,0,0
16,90,0,0,44,20,6,3,2,0.0,0.0,0.0,1,0,24,32,75.0,212,11,10,0,0
17,90,1,0,84,9,6,4,3,0.0,0.0,0.0,0,0,45,67,67.2,413,44,164,2,2
18,80,0,0,72,18,3,1,3,0.0,0.0,0.0,1,0,53,61,86.9,320,45,147,1,1
19,90,0,0,73,19,4,4,4,0.0,0.0,0.0,0,0,49,59,83.1,409,35,83,2,3
20,90,0,0,83,22,6,3,5,0.0,0.0,0.0,1,0,48,67,71.6,413,44,102,2,2
21,90,1,0,69,16,2,1,8,0.0,0.0,0.0,0,0,35,51,68.6,505,25,25,0,0
22,90,1,0,63,20,2,3,3,0.0,0.0,0.0,1,0,38,48,79.2,272,35,99,0,1
23,90,0,0,75,21,2,2,4,0.0,0.0,0.0,0,0,39,61,63.9,297,45,217,2,3
24,90,2,0,75,7,0,1,2,0.1,0.1,0.1,3,1,52,69,75.4,284,46,163,0,0
25,90,0,0,69,16,3,2,1,0.0,0.0,0.0,1,0,39,58,67.2,302,36,127,0,1
26,90,0,0,93,19,1,3,4,0.0,0.0,0.1,2,0,60,78,76.9,510,58,185,2,5
27,90,0,0,41,24,3,2,7,0.0,0.0,0.0,0,0,15,23,65.2,70,13,28,1,2
28,75,0,0,68,10,1,1,4,0.0,0.0,0.0,1,0,42,60,70.0,309,40,52,0,0
29,90,0,0,65,17,3,1,1,0.0,0.0,0.0,0,0,41,56,73.2,335,43,110,1,2
30,90,1,0,62,6,2,1,2,0.0,0.0,0.0,1,0,32,54,59.3,190,37,48,4,4
31,90,0,0,93,21,7,1,5,0.0,0.0,0.0,4,0,53,81,65.4,524,44,82,0,0
32,90,0,0,49,8,1,2,1,0.0,0.0,0.0,0,0,26,39,66.7,285,20,26,0,0
33,90,1,1,95,17,3,3,0,0.0,0.0,0.0,1,0,78,87,89.7,472,71,193,0,1
34,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
35,90,0,0,76,14,2,1,2,0.0,0.0,0.1,5,0,57,66,86.4,299,56,199,0,1
36,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
