0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Levin Öztunali,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Strain, Strain,0,not in squad,not in squad,not in squad,0, Ankle Injury, Ankle Injury, Ankle Injury,not in squad,0,0,0,0,0,0,0,0,0
Justin Eilers, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Medial Collateral Ligament Tear, Fitness, Fitness, Fitness, Fitness,With the 2nd team, Muscle Injury, Muscle Injury, Muscle Injury,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team
Ihlas Bebou,0,0,0,0,0,0,0,0,0,0,0,0,0, Thigh Problems,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0
Oliver Sorg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Lumbago,0,0,0, Thigh Problems
Aymen Barkok,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,not in squad,0,0,not in squad,not in squad,not in squad,0,0,0,0,not in squad,not in squad,not in squad
Vincenzo Grifo, Tear in a joint capsule, Tear in a joint capsule, Tear in a joint capsule, Tear in a joint capsule, Tear in a joint capsule, Tear in a joint capsule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cruciate ligament stretch, Cruciate ligament stretch,not in squad,0,not in squad,0,0,0
Philipp Klement,not in squad,not in squad, Thigh Muscle Strain,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,With the 2nd team,not in squad,not in squad,not in squad, Stretched Ligament,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Durm, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Hip Injury, Fitness,0, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament
Mathew Leckie,0,0,0,0,0,0,0,0,0, Thigh Problems, Thigh Problems,International match,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0
Kyriakos Papadopoulos,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0,0,0, Knee Problems,0, Yellow card suspension,0,0,0,0
Ramazan Özcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Infection, Infection, Infection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anastasios Donis,0,not in squad,0,0,0,0,0,0, Acromioclavicular Separation, Acromioclavicular Separation, Acromioclavicular Separation, Acromioclavicular Separation, Acromioclavicular Separation,0,0,0, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Törles Knöll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Per Ciljan Skjelbred,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yann Sommer,0,0,0,0, Twisted knee, Twisted knee,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Pulled hamstring at the adductors, Pulled hamstring at the adductors,0,0,0,0,0,0,0,0,0,0,0,0
Leo Weinkauf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwame Yeboah,not in squad,With the 2nd team,not in squad, Muscular problems, Muscular problems, Muscular problems,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serhou Guirassy,0,0,0,0,With the 2nd team,0,not in squad,0,0,0,0,0,0,0,0, Toe Injury, Toe Injury,0,0,0,0, Ankle problems,not in squad,not in squad, Cold, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Ankle Surgery, Fitness, Fitness
Leonardo Bittencourt,0,0,0,0,0,0,0,0,0,0,0,0,0, Adductor problems, Adductor problems, Adductor problems, Adductor problems, Groin Surgery, Groin Surgery, Groin Surgery, Groin Surgery, Groin Surgery, Groin Surgery,0,0,0,0,0,0,0,0,0,not in squad,0
Bernd Leno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0
