0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Milos Jojic,0,0, Stretched Ligament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Problems with the hip flexor, Problems with the hip flexor,not in squad,not in squad,0,0,0,0,0
Gerrit Holtmann,not in squad,not in squad,not in squad,not in squad,0,not in squad, Minor Knock,With the 2nd team, Calf Strain, Calf Strain, Calf Strain,0,0,0,0,0,0,0,0,0,0, Back trouble,0,0,0,0,not in squad,0,0,0,0,0,0,0
Jacob Bruun Larsen, Fatigue fracture, Fatigue fracture, Fatigue fracture,not in squad,0,With youth team,not in squad,With youth team,0,With the 2nd team,With youth team,International match, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Fitness,0,not in squad,not in squad,not in squad,With the 2nd team,not in squad,0,0,0,0,0,0,0,0,0
Yvon Mvogo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florian Baak,With U19,With U19,With the 2nd team,With the 2nd team,With the 2nd team,With U19,International match,With U19,not in squad,With U19,With U19,not in squad,With U19,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With U19,With U19,With U19,With U19,not in squad,With U19,With U19,not in squad,With U19,0, Gastric problems,With U19,0,With U19
Kerem Demirbay,0,0,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Fitness,0,0,0,0, Capsular rupture in the ankle, Capsular rupture in the ankle
Simon Terodde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Muscular problems,0,0,0,0,0,0,0
Franco Di Santo,0,0, Bruise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Baier,0,0,0,0,0,Suspension through sports court,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0, Cold, Cold,0,0,0
Andrej Kramaric,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pablo de Blasis,0,0,0,0,0,0,0,0,0,0,0,0, Bruised Foot,0,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0
Ulisses Garcia,0,0,0,0,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,With the 2nd team,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jesper Verlaat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philipp Lienhart,0,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Fitness, Fitness,0,0, Ruptured knee ligament, Ruptured knee ligament, Ruptured knee ligament, Fitness, Fitness, Fitness,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad
Martin Harnik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Abdominal Influenza,0,0,0,0,0,0,0,0,0, Influenza,0,0,0,0,0,0,0
Danny da Costa,0,0, Thigh Problems, Tendon crack, Tendon crack, Tendon crack, Tendon crack, Tendon crack, Tendon crack, Tendon crack, Tendon crack, Fitness, Fitness, Fitness, Fitness, Fitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Josuha Guilavogui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Calf Problems,0,0,0,0,0,0,0,0, Indirect card suspension, Muscle Injury, Muscle Injury,0,0,0
Jordan Beyer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erik Thommy,0,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,not in squad,0,0, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naby Keïta,0,0,0,0, Red card suspension, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0, Thigh Muscle Strain,0,0,0,0,0,0,0,0, Indirect card suspension,0
Max Kruse,0,0,0,0, Collarbone fracture, Collarbone fracture, Collarbone fracture, Collarbone fracture,0,0,0,0,0,0,0,0, Adductor problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thiago, Abdominal muscles injury,0,0,0,0, Pubis bone contusion,0,0,0,0,0, Bruised Knee, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion, Muscle partial avulsion,0,0,0,0, Strain,0,0,0,0,0,0,0
Filip Kostic,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Kent,0,0,not in squad,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niclas Füllkrug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz, Knee Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobias Sippel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolai Müller,0, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Fitness,0,0
Lars Stindl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0, Syndesmotic ligament tear, Syndesmotic ligament tear
Alessandro Schöpf, Ruptured cruciate ligament, Ruptured cruciate ligament, Fitness, Back trouble, Back trouble, Back trouble, Back trouble,0,0,0,0,0,0,0, Tear in a joint capsule, Tear in a joint capsule,0,0,0,0, Rest ,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Goden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daichi Kamada,0,0,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,not in squad,not in squad, Ill, Ill,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Rafal Gikiewicz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simon Zoller,0,not in squad,0,0,0, Muscular problems, Muscular problems,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0, Thigh Problems,not in squad,0,0
Josip Drmic, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matti Steinmann,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvin Bakalorz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marin Sverko, Strain in the thigh and gluteal muscles, Strain in the thigh and gluteal muscles,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad
Vladlen Yurchenko,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Bruised Foot, Fitness, Fitness,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,not in squad
Mike Bähre,0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad, Ill,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maurice Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Bernat, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Fitness, Fitness, Fitness,0,0, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,not in squad,0,0,0,0,0, Ankle problems,0,0,0,0, Muscular problems, Muscular problems
Linton Maina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taleb Tawatha,0,0,0,0,0,0,0,0,0, Ill,0,0,0,0,0,0,not in squad, Thigh Problems,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,0
Jeremy Toljan,0,0,not in squad, Muscular problems, Muscular problems,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0, Rest , Influenza, Influenza, Influenza,0,0,not in squad,0,0,not in squad,0
Salif Sané, Red card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0
Philipp Ochs,not in squad,0,0,not in squad,not in squad,With the 2nd team,0,0,0,0,not in squad,not in squad,not in squad,not in squad, Knock, Knock,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne Maier,With U19,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With U19,International match,With U19,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Fever, Fever,0,0,0,0,0,0,0, Mononucleosis, Mononucleosis, Mononucleosis
Bartosz Kapustka,With the 2nd team, Fitness,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,not in squad,not in squad,not in squad,0,0, Ill, Ill, Ill,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad
Christian Mathenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad
Federico Palacios,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Terrazzino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0, Influenza,not in squad,not in squad,not in squad,0,0,0
Alexander Meyer,0,0,0,0,0,0,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0,0,0,0,0,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,0,0,not in squad,not in squad
Victor Osimhen,0,not in squad,not in squad,0,0,not in squad,0,0,not in squad,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0, Calf Problems, Calf Problems,0,0,0,0,not in squad, Shoulder Injury, Shoulder Injury, Shoulder Injury
Lamine Sané,0,0,0,0, Knee Problems, Knee Problems, Knee Problems,0,0,0,0,0,0,0,0,0,0,0,0, Influenza,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0
Robin Koch,0,not in squad,0, Cold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0
Ondrej Duda,0, Sprained Ankle,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,0, Calf Problems, Calf Problems,not in squad,0,0,0,0,0,0,0,0,0,0,0
Dominique Heintz,0,0,0,0,0,0,0,0,0,0,0, Tendon crack, Tendon crack, Tendon crack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadiem Amiri,0,0,0,0,0,0, Bruised Foot,0, Calf Strain,0,0,0,0,0,0,0,0, Bruise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gregoritsch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad
Lukas Klünter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,not in squad,not in squad,not in squad,not in squad,With the 2nd team,0,With the 2nd team,0,With the 2nd team,not in squad,not in squad,not in squad,not in squad
Eugen Polanski,0,not in squad,0,0,0,0,0,0,0,0,0,0, Abdominal Influenza,not in squad,not in squad,not in squad,0,0,0,not in squad,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0
Marco Höger,0,0,0,0,0,0,0,0, Thigh Problems, Thigh Problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Salcedo, Acromioclavicular Separation, Acromioclavicular Separation,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad, Collarbone fracture, Collarbone fracture, Collarbone fracture, Collarbone fracture, Collarbone fracture,0,0
Marcin Kaminski,0,0,0,0,0,0,0,0, Double Torn Ligament, Double Torn Ligament, Double Torn Ligament, Double Torn Ligament, Double Torn Ligament,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Hirzel,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team
Michy Batshuayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Torn Ankle Ligament, Torn Ankle Ligament, Torn Ankle Ligament, Torn Ankle Ligament
Walace,0,0,0,0,0,0,0,0,0,0,0, Bruised Knee,0,0,0,0, Back trouble, Knee Problems,not in squad,0,0,0,0,0,0,0,not in squad,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
Konstantinos Stafylidis, Knock, Knock,0,0,0,0,0, Muscular problems, Muscular problems, Muscular problems,0,0,not in squad,not in squad,not in squad, Ill,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirmin Schwegler,0,0, Knee Problems,0,0,0,0,0,0,0,0,0,0, Fever,0, Yellow card suspension,0,0,0,0,0, Lumbago,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension
Ludwig Augustinsson,0,0,0,0,0,0, Knee Problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0, Cold,0
Tom Mickel,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0
Sergio Córdova,0,0,0,0,0,0,0, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Torn ankle ligament, Fitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Opare,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave,special leave
Lukas Rupp,0,0,0,0,0,0,0, Pelvis Injury,0,0,0,0, Rest ,0,0,0,0,0,0,0, Knee Problems, Knee Problems,0,0,0,0, Calf Problems,0,0,0,0,0,0, Cruciate Ligament Rupture
Kevin Volland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,special leave,0,0,0,0,0,0, Yellow card suspension
Michael Langer,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Jetro Willems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,0,0,0,0,0,special leave,not in squad,not in squad,0,not in squad,0,0,0,0,0,0
Sven Müller,0,0,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,not in squad,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team, Cold,0,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team
Julian Korb,0,0,0,0,0,0,0,0,0,0,0, Ill,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gideon Jung,0,0,0,0,0,0,0,0,0, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0, Lumbago,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0
Christian Gentner,0,0,0,0, Fracture of the orbit, Fracture of the orbit, Fracture of the orbit, Fracture of the orbit, Fracture of the orbit, Fitness, Fitness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Romario Rösch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lars Lukas Mai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benedikt Höwedes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max Grün,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mats Hummels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Adductor problems, Cold,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gotoku Sakai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gojko Kacar, Minor Knock,0,0,0,not in squad,0,not in squad,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0
Mario Götze,0,0,0, Facial Injury, Facial Injury,0, Rest ,0,0,0,0,0,0, Ruptured ankle ligament, Ruptured ankle ligament, Ruptured ankle ligament, Ruptured ankle ligament,0,0,0, Back trouble,0,0,0,0,0,0,0,0,0,0,0,0,0
Yoric Ravet,0, Minor Knock,0, Red card suspension, Red card suspension, Red card suspension,0,0,0,0,0,0,0,0,0,0,0, Achilles Irritation, Achilles Irritation, Achilles Irritation, Achilles Irritation, Achilles Irritation, Achilles Irritation,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0
Dominik Kohr,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0,0,0,0,0,0,0
Luca Itter,With the 2nd team,0,0,0,0,0,0, Strain,0,not in squad,0,not in squad,With U19,0, Bronchitis, Fitness, Thigh Problems,not in squad,not in squad,0,With the 2nd team,0,0,0, Muscular problems,0,0,0,not in squad, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre
Felix Klaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Thigh Problems,0,0,0,0,0, Yellow card suspension, Adductor problems, Adductor problems, Adductor problems
Abdou Diallo,0,0,0,0, Bruise,0,0,0,0,0,0,0, Knee Problems,0,0,0,0, Muscular problems,0,0,0,0, Yellow card suspension,0,0,0,0, Nasal Bone Fracture, Nasal Bone Fracture,0,0,0,0,not in squad
Konstantin Rausch,0, Concussion,0,0,0,0,0,0,0,0,0,0,0,0,0, Rest ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mats Köhlert,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team
Renato Steffen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Rebic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cold,0,0, Yellow card suspension,0,0,0,0,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Ill,0
Nikolas Nartey,With the 2nd team,With the 2nd team,not in squad,With the 2nd team, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Fitness,0,0, Bruised Knee, Bruised Knee, Bruised Knee,not in squad,not in squad,not in squad, Hamstring Injury, Hamstring Injury,not in squad,With U19,not in squad,With the 2nd team,not in squad,not in squad,With U19,With U19,With U19,With U19,With U19,not in squad
Danny Latza,0,0,0,0,0,0,0,0,0,0, Abdominal Influenza,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0, Adductor problems, Adductor problems, Adductor problems
Sidney Friede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad, Concussion,not in squad,With the 2nd team,With the 2nd team,not in squad,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad
Jaroslav Drobny,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Herzog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javi Martínez, Torn Muscle Fibre,0,0,0,0,0,0,0, Shoulder Injury,0,0,0,0,0,0,0,0,0,0, Influenza, Sprained Ankle,0,0,0,0,0,0,0,0,0,0,not in squad,0,0
Tin Jedvaj, Shinbone injury, Shinbone injury, Shinbone injury, Shinbone injury, Shinbone injury, Shinbone injury, Shinbone injury, Shinbone injury, Fitness, Fitness, Fitness, Fitness, Fitness, Fitness,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0, Thigh Muscle Strain,0,0,0,0,0,0,0,0
Michael Esser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Ill,0,0,0,0,0,0,0,0,0
Kingsley Coman,0,0,0,0,0,0,0,0,0, Bruised Knee,0, tendon irritation,0,0,0,0,0,0,0,0,0,0, Bronchitis,0, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear, Syndesmotic ligament tear
Gregor Kobel,0,0,0,0,0,0,With the 2nd team,0,0,0,0,0,0,not in squad,0,0,0, Ill,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,0,0,0,0,0,0
Timo Baumgartl, Concussion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Concussion, Concussion, Concussion, Concussion,0,0,0,0,0
Sven Schipplock,0,0,0,0,0,0, Back Injury,0,0, Calf Problems, Calf Problems, Calf Problems,0,0,0,0,0,0,0, Ill,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,not in squad, Muscular problems, Muscular problems, Muscular problems,not in squad,not in squad,not in squad
Julian Schieber, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Cartilage Damage, Fitness, Fitness, Fitness, Fitness,not in squad,not in squad,not in squad, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Fitness, Fitness, Fitness,0,With the 2nd team,0,not in squad,not in squad,not in squad,0
Alexander Esswein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Cold,not in squad,0,0,0,0,0,0,not in squad,not in squad,0,0,not in squad,0,0,0,0
