,0
Pascal Stenzel,"['\xa0Influenza', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', '\xa0Acromioclavicular Separation', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad']"
Emil Berggreen,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']"
Divock Origi,[]
Birk Risa,"['not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the pros', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team']"
Marco Friedl,"['\xa0Yellow card suspension', '\xa0Red card suspension', '\xa0Red card suspension', '\xa0Red card suspension', 'not in squad']"
Jonathan Tah,"['not in squad', '\xa0Influenza', 'not in squad', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Muscular problems', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre']"
Mark Uth,"['\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', '\xa0Torn muscle bundle', 'With the 2nd team', '\xa0Scissure', '\xa0Scissure', '\xa0Scissure', '\xa0Scissure', '\xa0Scissure', '\xa0Torn muscle bundle']"
Jannik Vestergaard,[]
Christofer Heimeroth,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad']"
Edgar Prib,"['\xa0Yellow card suspension', '\xa0Yellow card suspension']"
Paul Verhaegh,"['\xa0Influenza', '\xa0Back trouble', 'not in squad', 'not in squad']"
Shawn Parker,"['not in squad', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Knock', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Cold', '\xa0Knock']"
Jetro Willems,"['\xa0Knock', 'not in squad', '\xa0Knock', '\xa0Knock', '\xa0Hamstring Injury', 'not in squad', '\xa0Hamstring Injury']"
Florian Grillitsch,"['\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Fitness', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Fitness']"
Konstantinos Stafylidis,"['\xa0Yellow card suspension', '\xa0Abdominal Influenza', 'not in squad', 'not in squad']"
Marcel Heller,[]
Mario Gómez,"['\xa0Fitness', '\xa0Fitness']"
Josip Drmic,"['\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', 'not in squad', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Cartilage Damage', '\xa0Knee Injury']"
Orel Mangala,"['\xa0Yellow card suspension', '\xa0Indirect card suspension']"
Kyriakos Papadopoulos,"['\xa0Knee Problems', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Knee Surgery', '\xa0Shoulder Injury', '\xa0Adductor problems', '\xa0Yellow card suspension']"
Thomas Delaney,"['\xa0Midface fracture', '\xa0Midface fracture', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Yellow card suspension', 'not in squad', 'not in squad']"
Iver Fossum,"['not in squad', 'not in squad']"
Gotoku Sakai,['\xa0Yellow card suspension']
Marco Fabián,"['\xa0Yellow card suspension', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Lumbar vertebrae problems', '\xa0Indirect card suspension', '\xa0Lumbar vertebrae problems']"
Serge Gnabry,"['\xa0Back trouble', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscular problems', 'International match', 'International match', 'not in squad']"
Kaylen Hinds,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']"
Waldemar Anton,"['\xa0Influenza', '\xa0Yellow card suspension', '\xa0Red card suspension']"
Matthias Zimmermann,"['\xa0Ruptured ankle aigament', '\xa0Ruptured ankle aigament']"
Raphaël Guerreiro,"['\xa0Torn Muscle Fibre', '\xa0Torn Muscle Fibre', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Fitness', '\xa0Fitness', '\xa0Torn Muscle Fibre', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Torn Muscle Fibre']"
Marcel Risse,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Fitness', '\xa0Fitness', '\xa0Fitness', '\xa0Cruciate Ligament Rupture']"
Anas Ouahim,"['not in squad', 'not in squad', 'not in squad', '\xa0Yellow card suspension']"
Suat Serdar,"['\xa0Muscular problems', '\xa0Muscular problems', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Muscle Injury', '\xa0Fitness', 'not in squad', 'With the 2nd team', 'not in squad', '\xa0Calf Problems', '\xa0Calf Problems', '\xa0Calf Problems', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'International match', '\xa0Muscle Injury', '\xa0Muscle Injury']"
Jens Grahl,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', '\xa0Meniscal Injury', 'not in squad', 'not in squad']"
