,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,injuries,injured games
125,Eric Maxim Choupo-Moting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Groin Strain, Groin Strain, Groin Strain, Groin Strain, Groin Strain, Groin Strain,not in squad,"['\xa0Knee Problems', '\xa0Influenza', '\xa0Influenza', '\xa0Adductor problems', 'not in squad', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Knee Problems', 'not in squad', 'not in squad', '\xa0Cruciate Ligament Injury', '\xa0Cruciate Ligament Injury', '\xa0Adductor problems']",12
126,Chris Wood,0,0,0,0,0,0,0,0,0,not in squad,0,International match,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,0, Foot Injury,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad']",0
127,Wilfried Zaha,0, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,0,"['not in squad', 'International match', 'International match', 'International match', 'International match', 'not in squad']",0
128,Soufyan Ahannach,not in squad,not in squad,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
129,Axel Tuanzebe,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'International match', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'International match', 'With the 2nd team', 'not in squad', 'International match', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad']",0
130,Julien Ngoy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'With the pros', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
131,Nathaniel Chalobah,0,0,0,0,0, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery, Knee Surgery,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
132,Jordan Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
133,Yaya Touré,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,not in squad,0,not in squad,0,0,0,0,0,0,not in squad,not in squad,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,not in squad,"['No eligibility', 'No eligibility', 'No eligibility', 'No eligibility', 'No eligibility', 'No eligibility', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
134,Ben Hamer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,not in squad,0,not in squad,not in squad,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', '\xa0Head Injury', 'not in squad', 'With the 2nd team', '\xa0Head Injury']",23
135,Grady Diangana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
136,Ryan Bertrand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', '\xa0Hamstring Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury']",6
137,Christopher Schindler,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad']",0
138,Rayhaan Tulloch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'International match', 'International match', 'not in squad', 'With the U21s', 'International match', 'not in squad']",0
139,Leonardo Ulloa,not in squad,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,not in squad,0,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Thigh Muscle Strain', '\xa0Thigh Muscle Strain', '\xa0Thigh Muscle Strain', '\xa0Thigh Muscle Strain', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Thigh Muscle Strain', 'not in squad', 'not in squad']",5
140,Kevin Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury']",15
141,Ádám Bogdán, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture,"['\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture']",32
142,Dean Marney, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture, Cruciate Ligament Rupture,0,0,not in squad,not in squad, Knee Injury, Knee Injury, Knee Injury, Knee Injury,0,0,0,0,0,0,0,0,not in squad,0,not in squad,"['\xa0Yellow card suspension', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', 'not in squad', '\xa0Cruciate Ligament Rupture', '\xa0Cruciate Ligament Rupture', 'not in squad']",18
143,Mateusz Hewelt,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,not in squad,not in squad,With the U21s,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,With the U21s,With the U21s,not in squad,not in squad,With the U21s,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad,"['With the U21s', 'With the U21s', 'With the U21s', 'With the U21s', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'With the U21s', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'With the U21s']",0
144,Ciaran Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0, Knee Injury,0,0,0,0,0, Knee Injury, Knee Injury,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
145,Cohen Bramall,With the 2nd team,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad']",0
146,Wesley Hoedt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['\xa0Yellow card suspension'],0
147,Didier Ndong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension,0,0,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,"['not in squad', 'International match', 'International match', 'not in squad', '\xa0Red card suspension', 'Called up to national team', 'International match']",0
148,Daryl Janmaat,0, Groin Strain, Groin Strain,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Shoulder Injury', '\xa0Shoulder Injury', '\xa0Shoulder Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",3
149,Callum Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'International match', 'International match', 'not in squad', 'not in squad', 'International match', 'not in squad', 'International match', 'International match', 'not in squad', 'not in squad']",0
150,Thibaud Verlinden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['International match', 'not in squad', 'With the pros', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
151,Stefano Okaka,0,0,not in squad,not in squad,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,0,0, Calf Strain, Calf Strain, Calf Strain, Calf Strain, Calf Strain,0,0,0,0,not in squad,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury']",13
152,Lewis O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
153,Tom Edwards,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,0,not in squad,0,not in squad,not in squad,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,not in squad,With the 2nd team,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the pros', 'not in squad', 'With the U18s', 'With the U18s']",0
154,Josh Cullen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,With the pros,With the pros,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad,"['International match', 'International match', 'not in squad', 'International match', 'International match', 'not in squad', 'International match', 'not in squad', 'not in squad', 'not in squad']",0
155,Jeff Hendrick,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Yellow card suspension', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
156,Sebastian Prödl,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad']",0
157,Aaron Ramsdale,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'International match', 'International match', 'International match', 'International match']",0
158,Grzegorz Krychowiak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Knee Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Fractured Rib', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Fractured Rib', 'not in squad', 'not in squad', 'not in squad', '\xa0Knee Injury', '\xa0Fractured Rib', 'not in squad']",6
159,Gylfi Sigurdsson,special leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury, Knee Injury,[],0
160,Andre Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court', 'Suspension through sports court']",0
161,Brendan Galloway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'With the U21s', 'not in squad', 'not in squad', '\xa0Bruise', '\xa0Bruise', '\xa0Bruise', 'not in squad', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the U21s', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",3
162,Jake Clarke-Salter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['International match', 'International match', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'With the U21s', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
163,Patrice Evra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['\xa0Sprain', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', '\xa0Hamstring Injury']",4
164,Shani Tarashaj, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus, Torn Meniscus,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,With the U21s,not in squad,not in squad,not in squad,"['not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Tonsillitis', '\xa0Tonsillitis', '\xa0Tonsillitis', '\xa0Tonsillitis', 'not in squad', '\xa0Muscular problems', '\xa0Muscular problems', 'not in squad', 'not in squad', 'not in squad', '\xa0Torn Meniscus', '\xa0Torn Meniscus', '\xa0Torn Meniscus', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",5
165,Dan Barlaser,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,0,0,0,0,0,0,0,not in squad,0,0,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad,"['not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'With the 2nd team', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'With the 2nd team', 'With the 2nd team']",0
166,Jesús Gámez,not in squad,not in squad,0,0,not in squad,0,0,0,0,0,0,0,0, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
167,Ryan Inniss,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
168,Mathieu Debuchy,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', '\xa0Hamstring Injury']",12
169,Beni Baningime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,0,not in squad,0,0,0,0,0,0,not in squad,"['not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'With the U21s', 'not in squad', 'With the U21s', 'not in squad', 'not in squad']",0
170,Michael Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],0
171,Damien Delaney,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,not in squad,not in squad,0,0,0,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,"['\xa0Yellow card suspension', 'not in squad', 'not in squad']",0
172,Henri Saivet,not in squad,0,0,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,0,not in squad,With the 2nd team,not in squad,not in squad,not in squad,With the 2nd team,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,"['not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'International match', 'International match', 'International match', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad', 'not in squad']",0
173,Lasse Sörensen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['With the 2nd team', 'not in squad', 'not in squad', 'not in squad', 'With the 2nd team', 'no information available']",0
