name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
Achraf-Lazaar-,90.0,1.3759228876127976,0.951394585726005,56.691734553209926,24.943001352906933,2.943197755960729,0.7830141129032258,4.563826650943396,0.10386587366694013,0.10386587366694013,0.07391304347826089,1.377175835726005,0.0,26.211067952975732,36.30800981271005,71.725,98.3954935215936,43.61016567734658,166.89880311979016,4.265221236669401,6.735331586242029
Adam-Marusic-,90.0,1.3734350833700235,0.5318237452699213,53.04004209418711,11.711608630150694,1.261259709003491,1.10071199318715,1.6783481622568543,0.09916230294005442,0.09916230294005442,0.14841322203666463,2.600916674868369,0.3481012658227848,33.54985796996547,43.33673988681134,77.59062499999999,167.78832981257847,35.549310010306584,136.9387054316528,0.9626896231876431,2.3976556150269612
Adam-Masina-,90.0,0.5961337610503935,0.08823529411764706,65.67341988650146,17.478169276113043,3.1208902091870123,1.8157654943023809,2.214657356508101,0.05294117647058824,0.05294117647058824,0.057965931690178316,1.4795065081676286,0.14705882352941177,40.86228176716497,53.03605976669552,76.03529411764707,318.924513408118,36.24226820475782,125.08817806880431,0.9964343311482838,1.5757380645675971
Adam-Nagy-,90.0,0.5357142857142857,0.5357142857142857,39.96338026362432,23.984131446687158,2.36202567682035,1.2057347054826895,2.741117527951675,0.10714285714285715,0.10714285714285715,0.04540719696969697,1.0203522116324535,0.15625,24.25973451774598,28.985429799932664,83.88333333333334,93.62856687384487,26.203912828116987,68.85429740304264,0.6817375333000332,1.2852486055611057
Adam-Ounas-,90.0,4.11525974025974,0.5357142857142857,96.38752319109462,26.57073283858998,2.525510204081633,0.0,1.721938775510204,0.10714285714285714,0.10714285714285714,0.22576530612244897,11.900510204081632,1.0714285714285714,59.714749536178104,76.51878478664193,77.15714285714284,178.84438775510202,84.79522263450835,326.0983302411874,3.6964285714285716,6.221938775510204
Adel-Taarabt-,90.0,1.793001490688206,0.6546119775795916,56.89204036533517,14.316829153234846,1.0949980930444774,0.603962626930241,0.7419297029689136,0.06642857142857143,0.06642857142857143,0.27879841002130007,4.444911806716071,0.41657754010695186,34.42378890622244,44.586559886625075,77.38636363636364,164.26799366257382,48.08221297797363,189.80403514389135,3.1315213531840227,4.310904178775273
Adem-Ljajic-,90.0,2.592089371980676,0.8166666666666667,63.96977163586225,16.61179931414421,0.8288377776897562,0.4212078651685393,1.240960715234042,0.1743478260869565,0.1743478260869565,0.33704954404820064,5.074816687194557,0.8898809523809523,41.84312643126761,53.4841073207341,78.36666666666666,214.4205863149073,47.929423097638775,208.63834251849033,2.3450637863070694,3.3964347224606133
Adrian-Stoian-,90.0,0.7924122535493376,0.25506032771974313,56.86405721469923,17.450437272831294,1.2266732507338525,1.0151916860947807,1.7930872587310347,0.08816951365728617,0.0613837993715719,0.0627949225789111,1.8429976187294728,0.2412610877684407,26.22096256018986,43.57200647986447,59.515625000000014,224.96317772672873,43.404963388568156,182.40519535124608,1.5737549949217169,2.91409167384402
Afriyie-Acquah-,90.0,1.326217329036878,0.9702380952380952,75.15675029738546,17.095812612235868,1.8316464237516872,2.3896790476031913,0.8890252773231497,0.27380952380952384,0.27380952380952384,0.0,4.125736072704558,0.0,57.347794724172154,65.52871879219428,83.49047619047619,199.7485069156155,59.48780409312489,209.00488229288328,1.7207507116321703,2.784526221836252
Ahmad-Benali-,90.0,0.5,0.3,51.67905844155844,27.705844155844158,3.2469155844155844,0.7,2.1625,0.1,0.1,0.03168831168831169,1.516883116883117,0.3168831168831169,30.558928571428574,41.13084415584416,72.38000000000001,173.43555194805194,33.22646103896104,82.7189935064935,0.7168831168831169,1.016883116883117
Alberto-Grassi-,90.0,1.437119171526003,0.46508828250401285,44.60362710761256,13.950422401111267,1.687737593306918,1.7193247963644196,1.6919306517072692,0.150651364764268,0.150651364764268,0.03288177339901478,1.3803955506761256,0.21428571428571427,26.709358578440654,32.09976145188293,82.48214285714288,100.41530300306772,29.040424211640122,83.43235982039836,0.7454562291640944,1.1542221749273789
Alberto-Paloschi-,90.0,1.3412941893877768,0.6316940986127692,26.303977265293263,14.694676568576151,0.4904302224445388,0.1467274799528236,0.29754985329788647,0.39833758447347484,0.39833758447347484,0.04074770789906283,1.6508074875724716,0.25662572721396254,14.689319116032266,19.133679769792526,73.85294117647061,36.08858046967697,16.78807948063971,34.987068086012556,0.8679508116222112,1.1064587537599087
Aleandro-Rosi-,90.0,0.8380395155159306,0.17307692307692304,56.47443468178093,15.560159764482611,1.8937649688456961,0.8495935417041974,1.9638407975672127,0.025641025641025644,0.025641025641025644,0.028685897435897435,1.0801746114246114,0.0,31.350161703399568,44.65313004149932,69.90416666666665,216.19790676050368,29.66090942839453,115.86591882580645,0.6657897919690372,1.6654766469585367
Aleksandar-Kolarov-,90.0,1.7640113798008534,0.37937411095305834,85.44200746799432,8.061210881934567,1.7697012802275958,1.6684210526315788,1.706543385490754,0.07477951635846375,0.07477951635846375,0.2358223684210526,4.329240753911807,0.34736842105263155,56.194194523470834,73.75803698435277,75.58157894736843,400.6719150071124,56.57307965860598,242.33157894736843,1.305921052631579,2.5694078947368424
Aleksandar-Tonev-,90.0,1.5516483516483517,0.45054945054945056,43.41447963800905,19.95126050420168,0.4725274725274725,0.17142857142857143,1.9848739495798318,0.09076923076923078,0.09076923076923078,0.06571428571428571,1.2571428571428573,0.0,16.96005171299289,31.393148028442145,53.01428571428572,83.10135746606336,33.09424692954105,149.94789915966388,0.4571428571428572,1.4991596638655462
Alessandro-Bastoni-,90.0,0.3629032258064516,0.0,165.05875576036868,52.486175115207374,2.975806451612903,1.6071428571428572,2.25,0.0,0.0,0.07258064516129033,1.0887096774193548,0.0,76.32373271889401,108.43548387096774,74.6,451.09907834101386,111.58755760368663,455.27764976958525,0.3629032258064516,22.862903225806452
Alessandro-Buongiorno-,90.0,0.0,0.0,90.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,78.75,85.7,315.0,45.0,0.0,0.0,0.0
Alessandro-Deiola-,90.0,2.865787864441551,0.3262220381110191,53.68570550128762,25.50841719937304,1.6574545311082176,1.3611290670114202,1.3989426756618137,0.07668067226890757,0.07668067226890757,0.045238095238095244,0.9682711654542642,0.0,29.766956813343825,41.16290445473022,70.7,132.53782432941145,36.91958294458205,49.35201039999588,0.8764259766745268,1.5894176951010284
Alessandro-Florenzi-,90.0,1.8312919611635308,0.3369798041615667,76.04023728495898,12.999018722756839,1.429231260643021,1.6622511832085773,1.642127838465346,0.12778340080971662,0.10278340080971662,0.22874347750892016,3.715766468555019,0.4307298041615667,50.06653978046879,66.25590084660892,74.828125,401.2954602849526,48.92228059532779,174.0149610139549,0.6627917921686747,1.6475530696236143
Alessandro-Gamberini-,90.0,0.1971830985915493,0.05511328842620943,44.66915641912579,7.445260753711459,0.8718616044090631,0.861192714453584,2.2102298869598314,0.03159828536436007,0.03159828536436007,0.0,0.043478260869565216,0.0,29.04530668145181,34.37292621770577,82.67391304347827,165.7064414690257,23.069214759768958,43.280128597673,0.0,0.0
Alessandro-Matri-,90.0,3.921530029539183,1.496325051759834,39.108355182761876,10.78598413726025,0.44970203122377034,0.0,0.6415495259888853,0.8328444348238399,0.5908535881419176,0.18146701580626068,2.454158825383082,0.043478260869565216,14.15857659244202,22.326775453996422,67.56521739130434,46.28533020057251,29.039717893346,38.511666067674774,1.004020921869892,2.4182486845216604
Alessandro-Murgia-,90.0,2.1034716527253843,0.21904761904761905,59.06451608093399,26.27902247006724,1.9105899076048327,1.6535633520708148,2.144963494217225,0.06895522388059702,0.06895522388059702,0.06190476190476191,2.273543372050835,0.0,38.35180093538303,45.782803763400786,83.17333333333333,167.30033598242557,42.54269461881402,99.55454893365342,0.2,0.6686567164179105
