0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Charlie Austin,,,,,not in squad,,,,,not in squad,,,,,,,,,,Suspension through sports court,Suspension through sports court,Suspension through sports court, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,
André Ayew,,,,,,,,,,,, Ill,,,,,,,,,,,, Hamstring Injury, Hamstring Injury, Hamstring Injury,,,,,,,,,,,,
Jordan Ayew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Red card suspension,not in squad,,,,,
César Azpilicueta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bachmann,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,,not in squad,not in squad,not in squad,,,,,not in squad,not in squad,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,
Eric Bailly,,,,,,,, Bruise, Bruise,,, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury, Ankle Injury,,,,,,,not in squad,,not in squad,,
Leighton Baines,,,,,,,,,,,,,, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury, Calf Injury,,,,,,,,,,
Tiemoué Bakayoko, Knee Surgery,,,,,,,,,,,,,,,,,,,,,,,,,, Indirect card suspension,not in squad,not in squad,,,,,,,,,
Lewis Baker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtney Baker-Richardson,,With the U21s,With the U21s,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,With the U21s,With the U21s,not in squad,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,not in squad,With the U21s,With the U21s,not in squad,not in squad,With the U21s,not in squad,not in squad,not in squad,not in squad,With the U21s,With the U21s,not in squad,not in squad,not in squad
Sam Baldock, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems, Calf Problems,With the U21s,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,,not in squad,not in squad,,,,not in squad,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,,,,,not in squad,not in squad,not in squad
Beni Baningime,,,,,,,,,,,,,,,,,,,,,,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the U21s,,not in squad,,,,,,,not in squad
Phil Bardsley,not in squad,not in squad,,,,,,not in squad,,,,not in squad,,,,,,,,,,,,,,,not in squad,,,,,,,,,,,
Ross Barkley,not in squad, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,not in squad,not in squad,not in squad,,, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury, Hamstring Injury,,With the U21s,not in squad,,,,,
Dan Barlaser,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,With the 2nd team,not in squad,not in squad,With the 2nd team,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,With the 2nd team,,,,,,,,not in squad,,,With the 2nd team,With the 2nd team,not in squad,not in squad,not in squad
Ashley Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Shoulder Injury
