,Press_int,Tackles,Interceptions,Blocks_int,Completed Passes,Attempted Passes,Distance Passes,Carries_int,Distance Carries,0
0,7.0,1.0,5.0,8.0,38.0,49.0,287.0,27.0,59.0,False
1,9.0,3.0,1.0,1.0,44.0,63.0,488.0,43.0,68.0,False
2,8.0,3.0,2.0,1.0,53.0,66.0,376.0,41.0,138.0,False
3,13.0,0.0,1.0,1.0,69.0,93.0,562.0,62.0,61.0,False
4,19.0,4.0,2.0,2.0,16.0,25.0,196.0,18.0,24.0,False
5,31.0,4.0,1.0,2.0,39.0,62.0,352.0,41.0,144.0,False
6,5.0,5.0,4.0,2.0,49.0,71.0,326.0,59.0,123.0,False
7,6.0,3.0,0.0,2.0,43.0,56.0,638.0,39.0,118.0,False
8,16.0,2.0,1.0,4.0,52.0,72.0,321.0,54.0,179.0,False
9,10.0,2.0,2.0,4.0,26.0,37.0,146.0,23.0,59.0,False
10,5.0,0.0,4.0,2.0,72.0,83.0,758.0,49.0,105.0,False
11,14.0,2.0,2.0,4.0,58.0,78.0,463.0,60.0,267.0,False
12,16.0,1.0,2.0,4.0,48.0,62.0,369.0,42.0,129.0,False
13,22.0,2.0,2.0,6.0,31.0,48.0,248.0,32.0,53.0,False
14,14.0,4.0,1.0,4.0,36.0,57.0,269.0,34.0,157.0,False
15,26.0,2.0,1.0,2.0,53.0,74.0,401.0,39.0,231.0,False
16,20.0,6.0,3.0,2.0,24.0,32.0,212.0,11.0,10.0,False
17,9.0,6.0,4.0,3.0,45.0,67.0,413.0,44.0,164.0,False
18,18.0,3.0,1.0,3.0,53.0,61.0,320.0,45.0,147.0,False
19,19.0,4.0,4.0,4.0,49.0,59.0,409.0,35.0,83.0,False
20,22.0,6.0,3.0,5.0,48.0,67.0,413.0,44.0,102.0,False
21,16.0,2.0,1.0,8.0,35.0,51.0,505.0,25.0,25.0,False
22,20.0,2.0,3.0,3.0,38.0,48.0,272.0,35.0,99.0,False
23,21.0,2.0,2.0,4.0,39.0,61.0,297.0,45.0,217.0,False
24,7.0,0.0,1.0,2.0,52.0,69.0,284.0,46.0,163.0,False
25,16.0,3.0,2.0,1.0,39.0,58.0,302.0,36.0,127.0,False
26,19.0,1.0,3.0,4.0,60.0,78.0,510.0,58.0,185.0,False
27,24.0,3.0,2.0,7.0,15.0,23.0,70.0,13.0,28.0,False
28,10.0,1.0,1.0,4.0,42.0,60.0,309.0,40.0,52.0,False
29,17.0,3.0,1.0,1.0,41.0,56.0,335.0,43.0,110.0,False
30,6.0,2.0,1.0,2.0,32.0,54.0,190.0,37.0,48.0,False
31,21.0,7.0,1.0,5.0,53.0,81.0,524.0,44.0,82.0,False
32,8.0,1.0,2.0,1.0,26.0,39.0,285.0,20.0,26.0,False
33,17.0,3.0,3.0,0.0,78.0,87.0,472.0,71.0,193.0,False
35,14.0,2.0,1.0,2.0,57.0,66.0,299.0,56.0,199.0,False
40,0.0,1.0,0.0,1.0,4.0,5.0,32.0,5.0,12.0,False
48,10.0,2.0,3.0,3.0,34.0,52.0,201.0,44.0,184.0,False
49,7.0,1.0,1.0,2.0,46.0,49.0,341.0,33.0,154.0,False
50,10.0,2.0,1.0,5.0,19.0,20.0,216.0,10.0,15.0,False
51,0.0,0.0,0.0,0.0,7.0,7.0,52.0,6.0,12.0,False
53,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,False
54,4.0,0.0,3.0,5.0,72.0,78.0,394.0,69.0,139.0,False
55,9.0,1.0,3.0,5.0,23.0,28.0,114.0,26.0,66.0,False
59,11.0,1.0,4.0,2.0,29.0,33.0,322.0,23.0,58.0,False
60,1.0,0.0,0.0,0.0,49.0,53.0,378.0,33.0,112.0,False
61,12.0,1.0,1.0,3.0,44.0,46.0,209.0,34.0,146.0,False
62,2.0,0.0,1.0,0.0,39.0,39.0,315.0,29.0,117.0,False
63,2.0,0.0,1.0,0.0,73.0,81.0,395.0,65.0,253.0,False
64,6.0,1.0,2.0,2.0,65.0,76.0,479.0,53.0,279.0,False
65,3.0,3.0,0.0,1.0,94.0,96.0,557.0,86.0,105.0,False
66,3.0,0.0,0.0,0.0,45.0,46.0,252.0,35.0,115.0,False
67,4.0,1.0,1.0,0.0,58.0,59.0,399.0,46.0,134.0,False
69,7.0,3.0,3.0,2.0,39.0,45.0,170.0,36.0,60.0,False
70,5.0,0.0,0.0,2.0,25.0,29.0,173.0,18.0,49.0,False
71,3.0,0.0,1.0,2.0,49.0,50.0,256.0,42.0,106.0,False
72,7.0,1.0,1.0,0.0,15.0,17.0,32.0,13.0,23.0,True
73,6.0,3.0,0.0,3.0,33.0,35.0,235.0,26.0,79.0,False
74,5.0,1.0,1.0,2.0,65.0,71.0,475.0,58.0,341.0,False
75,3.0,0.0,2.0,2.0,26.0,31.0,64.0,21.0,31.0,False
76,3.0,0.0,1.0,2.0,56.0,59.0,328.0,43.0,91.0,False
78,13.0,1.0,4.0,4.0,41.0,50.0,183.0,27.0,52.0,False
80,6.0,1.0,3.0,1.0,38.0,43.0,153.0,36.0,114.0,False
81,1.0,0.0,2.0,0.0,117.0,119.0,1047.0,89.0,321.0,False
84,4.0,0.0,3.0,2.0,57.0,62.0,272.0,52.0,128.0,False
85,19.0,1.0,0.0,1.0,8.0,18.0,20.0,16.0,53.0,False
86,16.0,0.0,0.0,0.0,13.0,17.0,29.0,11.0,36.0,False
87,42.0,5.0,0.0,1.0,8.0,10.0,24.0,12.0,42.0,False
88,7.0,0.0,0.0,0.0,5.0,7.0,12.0,6.0,30.0,False
89,27.0,0.0,1.0,3.0,7.0,13.0,34.0,13.0,16.0,False
90,8.0,0.0,0.0,2.0,17.0,26.0,40.0,11.0,30.0,False
92,11.0,2.0,0.0,0.0,16.0,25.0,166.0,22.0,112.0,False
93,3.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,17.0,False
94,15.0,0.0,0.0,3.0,6.0,7.0,24.0,8.0,22.0,False
95,7.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,False
97,41.0,5.0,2.0,4.0,22.0,29.0,72.0,15.0,18.0,False
98,1.0,0.0,0.0,0.0,4.0,4.0,32.0,6.0,15.0,False
99,2.0,0.0,0.0,0.0,6.0,8.0,12.0,9.0,10.0,False
100,30.0,4.0,1.0,1.0,17.0,19.0,32.0,32.0,93.0,False
101,2.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,7.0,False
102,5.0,0.0,0.0,2.0,5.0,6.0,0.0,6.0,9.0,False
103,14.0,1.0,0.0,2.0,15.0,22.0,70.0,15.0,32.0,False
104,7.0,0.0,0.0,0.0,3.0,5.0,0.0,7.0,16.0,False
105,5.0,1.0,0.0,1.0,26.0,28.0,64.0,33.0,101.0,False
106,29.0,3.0,0.0,3.0,19.0,24.0,58.0,29.0,69.0,False
107,12.0,0.0,1.0,2.0,16.0,20.0,102.0,23.0,91.0,False
108,17.0,0.0,0.0,0.0,11.0,19.0,9.0,20.0,99.0,False
109,5.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,False
110,11.0,0.0,0.0,1.0,15.0,24.0,73.0,14.0,38.0,True
111,6.0,0.0,0.0,0.0,10.0,15.0,36.0,14.0,16.0,False
112,0.0,0.0,2.0,1.0,7.0,10.0,24.0,9.0,9.0,False
113,13.0,2.0,0.0,0.0,5.0,6.0,34.0,7.0,26.0,True
114,13.0,0.0,0.0,2.0,38.0,44.0,185.0,39.0,153.0,False
115,5.0,2.0,0.0,0.0,25.0,36.0,121.0,36.0,89.0,False
116,17.0,1.0,1.0,1.0,26.0,31.0,110.0,29.0,98.0,False
117,13.0,0.0,0.0,2.0,30.0,46.0,133.0,47.0,198.0,False
118,24.0,2.0,0.0,2.0,27.0,31.0,181.0,37.0,126.0,False
119,16.0,1.0,1.0,0.0,41.0,47.0,111.0,51.0,142.0,False
120,4.0,0.0,0.0,1.0,34.0,39.0,116.0,36.0,105.0,False
121,6.0,0.0,1.0,1.0,26.0,33.0,156.0,30.0,99.0,False
122,2.0,0.0,0.0,1.0,14.0,15.0,99.0,16.0,72.0,False
123,8.0,0.0,0.0,2.0,4.0,10.0,45.0,11.0,58.0,False
124,6.0,1.0,1.0,0.0,42.0,57.0,141.0,53.0,350.0,False
125,25.0,3.0,1.0,0.0,18.0,33.0,64.0,29.0,79.0,False
127,9.0,1.0,0.0,0.0,22.0,29.0,188.0,22.0,94.0,False
128,12.0,0.0,1.0,0.0,15.0,19.0,84.0,18.0,40.0,False
129,18.0,1.0,3.0,2.0,24.0,30.0,117.0,37.0,282.0,False
130,6.0,1.0,0.0,0.0,9.0,13.0,72.0,15.0,33.0,False
131,20.0,0.0,1.0,3.0,33.0,48.0,39.0,43.0,85.0,False
132,23.0,0.0,1.0,1.0,28.0,39.0,98.0,35.0,298.0,False
133,9.0,4.0,1.0,1.0,17.0,26.0,67.0,23.0,67.0,False
134,1.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,14.0,False
135,1.0,2.0,0.0,0.0,5.0,9.0,0.0,7.0,12.0,False
137,2.0,0.0,0.0,0.0,2.0,2.0,7.0,3.0,18.0,False
139,7.0,2.0,0.0,1.0,21.0,31.0,128.0,34.0,196.0,False
140,6.0,0.0,1.0,1.0,32.0,50.0,274.0,45.0,297.0,False
141,7.0,1.0,1.0,1.0,27.0,41.0,57.0,42.0,190.0,False
142,9.0,1.0,1.0,1.0,14.0,23.0,42.0,27.0,136.0,False
143,19.0,2.0,0.0,3.0,12.0,20.0,42.0,20.0,97.0,False
145,4.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,14.0,False
146,27.0,0.0,1.0,1.0,13.0,22.0,59.0,27.0,181.0,False
147,4.0,0.0,0.0,0.0,7.0,13.0,0.0,18.0,221.0,False
148,5.0,2.0,0.0,1.0,7.0,12.0,4.0,10.0,99.0,False
149,10.0,1.0,0.0,0.0,10.0,15.0,100.0,15.0,120.0,False
150,9.0,0.0,0.0,2.0,14.0,29.0,105.0,32.0,136.0,False
151,6.0,1.0,0.0,1.0,10.0,17.0,38.0,32.0,132.0,False
152,14.0,0.0,1.0,2.0,26.0,33.0,229.0,32.0,203.0,False
153,8.0,0.0,3.0,2.0,5.0,7.0,3.0,8.0,9.0,False
154,41.0,2.0,0.0,2.0,19.0,32.0,150.0,36.0,190.0,False
155,14.0,0.0,1.0,1.0,16.0,25.0,64.0,35.0,108.0,False
156,5.0,0.0,1.0,1.0,31.0,54.0,102.0,63.0,198.0,False
157,5.0,0.0,0.0,0.0,4.0,11.0,6.0,15.0,91.0,True
158,7.0,0.0,0.0,0.0,2.0,7.0,0.0,17.0,105.0,False
159,17.0,0.0,2.0,1.0,9.0,18.0,0.0,24.0,90.0,False
160,9.0,0.0,0.0,0.0,22.0,31.0,25.0,41.0,237.0,False
161,3.0,0.0,1.0,0.0,16.0,31.0,143.0,30.0,121.0,False
162,8.0,0.0,0.0,2.0,12.0,18.0,70.0,26.0,102.0,False
163,5.0,0.0,0.0,0.0,9.0,18.0,44.0,16.0,21.0,True
164,9.0,0.0,0.0,2.0,7.0,10.0,34.0,8.0,32.0,False
165,14.0,4.0,1.0,4.0,12.0,27.0,35.0,23.0,157.0,False
166,7.0,1.0,0.0,1.0,8.0,11.0,37.0,13.0,61.0,False
167,11.0,4.0,1.0,0.0,15.0,26.0,155.0,27.0,111.0,False
168,4.0,0.0,2.0,0.0,37.0,54.0,236.0,56.0,425.0,True
169,0.0,0.0,0.0,0.0,2.0,7.0,10.0,7.0,42.0,True
172,10.0,1.0,0.0,1.0,44.0,50.0,117.0,40.0,62.0,False
175,33.0,8.0,2.0,3.0,19.0,28.0,147.0,14.0,4.0,False
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
180,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,False
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
184,25.0,1.0,2.0,2.0,54.0,62.0,320.0,51.0,58.0,False
185,3.0,0.0,1.0,2.0,39.0,46.0,220.0,33.0,54.0,False
186,19.0,5.0,3.0,2.0,37.0,55.0,270.0,35.0,113.0,False
187,6.0,0.0,1.0,3.0,10.0,15.0,122.0,5.0,11.0,False
188,9.0,2.0,0.0,3.0,33.0,38.0,153.0,29.0,60.0,False
189,12.0,3.0,0.0,5.0,9.0,17.0,94.0,10.0,11.0,False
190,1.0,0.0,1.0,4.0,13.0,20.0,104.0,12.0,14.0,False
191,6.0,2.0,2.0,2.0,30.0,36.0,220.0,22.0,70.0,False
192,5.0,2.0,0.0,4.0,25.0,32.0,142.0,27.0,125.0,False
193,15.0,3.0,0.0,0.0,13.0,18.0,97.0,12.0,13.0,False
194,11.0,1.0,1.0,3.0,19.0,27.0,167.0,17.0,46.0,False
195,12.0,3.0,1.0,1.0,19.0,26.0,122.0,17.0,21.0,False
196,2.0,0.0,1.0,2.0,22.0,26.0,131.0,17.0,30.0,False
197,2.0,0.0,1.0,1.0,36.0,40.0,276.0,37.0,179.0,False
198,5.0,0.0,1.0,2.0,14.0,16.0,93.0,12.0,16.0,False
199,1.0,0.0,0.0,0.0,23.0,30.0,96.0,20.0,29.0,False
200,7.0,2.0,0.0,1.0,17.0,18.0,154.0,11.0,13.0,False
201,7.0,2.0,0.0,0.0,28.0,32.0,259.0,18.0,25.0,False
202,6.0,2.0,1.0,1.0,31.0,35.0,191.0,26.0,28.0,False
203,5.0,0.0,1.0,2.0,18.0,22.0,108.0,21.0,34.0,False
204,1.0,1.0,1.0,2.0,34.0,42.0,227.0,31.0,101.0,False
205,1.0,0.0,4.0,5.0,37.0,42.0,220.0,39.0,67.0,False
206,8.0,2.0,0.0,0.0,24.0,29.0,111.0,21.0,63.0,False
207,11.0,0.0,0.0,4.0,18.0,26.0,171.0,15.0,17.0,False
208,1.0,0.0,0.0,0.0,8.0,9.0,55.0,6.0,9.0,True
209,5.0,0.0,1.0,1.0,24.0,28.0,214.0,18.0,102.0,False
210,8.0,1.0,1.0,4.0,17.0,22.0,116.0,16.0,34.0,False
211,14.0,1.0,0.0,1.0,23.0,35.0,184.0,15.0,28.0,False
212,4.0,0.0,1.0,2.0,20.0,24.0,260.0,17.0,26.0,False
213,1.0,1.0,2.0,0.0,33.0,43.0,244.0,28.0,126.0,False
214,8.0,2.0,2.0,4.0,45.0,54.0,288.0,36.0,79.0,False
215,9.0,1.0,2.0,0.0,25.0,34.0,157.0,26.0,119.0,False
217,2.0,0.0,2.0,3.0,28.0,31.0,198.0,26.0,37.0,False
218,11.0,2.0,2.0,0.0,22.0,29.0,140.0,17.0,33.0,False
219,3.0,0.0,3.0,2.0,17.0,21.0,112.0,6.0,16.0,False
220,11.0,3.0,6.0,1.0,31.0,47.0,226.0,38.0,92.0,False
221,19.0,1.0,1.0,1.0,16.0,28.0,128.0,17.0,64.0,False
222,21.0,4.0,0.0,2.0,55.0,60.0,373.0,53.0,188.0,False
223,6.0,3.0,1.0,2.0,42.0,53.0,233.0,36.0,94.0,False
224,5.0,4.0,1.0,2.0,34.0,40.0,120.0,31.0,60.0,False
225,21.0,2.0,1.0,1.0,34.0,41.0,210.0,36.0,64.0,False
226,18.0,2.0,1.0,0.0,15.0,25.0,106.0,16.0,23.0,False
227,15.0,1.0,0.0,0.0,16.0,20.0,87.0,16.0,37.0,False
228,23.0,0.0,0.0,1.0,42.0,55.0,470.0,37.0,149.0,False
229,2.0,1.0,2.0,1.0,19.0,31.0,76.0,25.0,41.0,False
230,9.0,0.0,0.0,1.0,36.0,44.0,172.0,29.0,58.0,False
231,37.0,0.0,1.0,0.0,50.0,59.0,456.0,45.0,84.0,False
232,22.0,1.0,4.0,1.0,45.0,56.0,222.0,57.0,83.0,False
233,23.0,1.0,1.0,1.0,20.0,32.0,111.0,22.0,15.0,False
234,16.0,1.0,0.0,1.0,31.0,34.0,265.0,30.0,43.0,False
235,38.0,3.0,0.0,1.0,18.0,28.0,200.0,17.0,22.0,False
236,11.0,1.0,0.0,0.0,25.0,35.0,147.0,15.0,48.0,False
237,15.0,2.0,0.0,1.0,35.0,45.0,260.0,35.0,62.0,False
238,26.0,2.0,0.0,0.0,21.0,31.0,71.0,28.0,15.0,False
239,21.0,4.0,0.0,1.0,29.0,39.0,202.0,27.0,33.0,False
240,8.0,0.0,1.0,2.0,54.0,57.0,227.0,52.0,89.0,False
242,15.0,3.0,1.0,1.0,46.0,55.0,288.0,47.0,92.0,False
243,19.0,3.0,2.0,1.0,14.0,25.0,107.0,12.0,23.0,False
244,26.0,1.0,2.0,1.0,24.0,40.0,180.0,26.0,45.0,False
245,10.0,0.0,1.0,0.0,21.0,36.0,157.0,26.0,45.0,False
252,3.0,0.0,0.0,1.0,2.0,3.0,6.0,3.0,8.0,False
254,23.0,2.0,1.0,1.0,40.0,48.0,148.0,39.0,73.0,False
256,0.0,0.0,0.0,0.0,2.0,5.0,18.0,4.0,30.0,False
257,14.0,0.0,0.0,1.0,5.0,6.0,0.0,5.0,4.0,False
258,9.0,0.0,0.0,0.0,3.0,7.0,8.0,4.0,9.0,False
259,16.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,0.0,False
260,8.0,0.0,0.0,0.0,1.0,5.0,0.0,4.0,3.0,False
261,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,False
262,0.0,0.0,0.0,0.0,2.0,4.0,29.0,3.0,17.0,False
263,27.0,1.0,0.0,1.0,10.0,14.0,26.0,12.0,20.0,False
264,5.0,1.0,0.0,2.0,18.0,24.0,17.0,26.0,35.0,False
265,4.0,1.0,0.0,1.0,4.0,8.0,9.0,8.0,1.0,False
266,18.0,0.0,0.0,1.0,17.0,26.0,37.0,28.0,109.0,False
267,8.0,0.0,0.0,2.0,11.0,21.0,19.0,23.0,66.0,False
268,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,False
269,3.0,0.0,0.0,0.0,3.0,5.0,17.0,3.0,0.0,False
270,8.0,1.0,0.0,0.0,1.0,6.0,13.0,8.0,17.0,False
271,3.0,0.0,0.0,2.0,4.0,9.0,4.0,9.0,22.0,False
272,2.0,0.0,0.0,0.0,2.0,3.0,42.0,1.0,0.0,False
273,14.0,0.0,0.0,0.0,9.0,13.0,43.0,13.0,38.0,False
274,26.0,0.0,0.0,4.0,13.0,22.0,30.0,19.0,16.0,False
275,8.0,0.0,0.0,0.0,11.0,21.0,33.0,22.0,63.0,False
276,22.0,0.0,0.0,3.0,12.0,26.0,58.0,21.0,30.0,False
277,26.0,2.0,0.0,1.0,13.0,23.0,68.0,29.0,142.0,False
278,24.0,0.0,0.0,1.0,9.0,13.0,17.0,19.0,36.0,False
279,5.0,0.0,0.0,0.0,15.0,22.0,42.0,22.0,71.0,False
280,41.0,0.0,1.0,2.0,10.0,15.0,22.0,8.0,10.0,False
281,26.0,3.0,0.0,1.0,15.0,25.0,53.0,22.0,36.0,False
282,17.0,0.0,0.0,2.0,13.0,19.0,47.0,15.0,34.0,False
283,3.0,0.0,0.0,2.0,14.0,29.0,62.0,23.0,78.0,False
284,3.0,0.0,0.0,0.0,14.0,18.0,25.0,22.0,52.0,False
285,33.0,1.0,0.0,3.0,7.0,15.0,28.0,10.0,15.0,False
286,26.0,0.0,0.0,2.0,20.0,26.0,68.0,27.0,19.0,False
287,16.0,0.0,0.0,1.0,7.0,18.0,35.0,10.0,22.0,False
288,26.0,0.0,0.0,3.0,13.0,18.0,51.0,17.0,56.0,False
289,4.0,0.0,0.0,0.0,12.0,17.0,25.0,13.0,20.0,False
290,14.0,1.0,0.0,0.0,9.0,16.0,46.0,20.0,47.0,False
291,7.0,0.0,0.0,0.0,3.0,5.0,33.0,7.0,9.0,True
295,2.0,0.0,0.0,0.0,26.0,26.0,179.0,23.0,29.0,False
303,1.0,0.0,1.0,0.0,51.0,57.0,311.0,51.0,161.0,False
304,0.0,0.0,0.0,0.0,1.0,2.0,7.0,1.0,0.0,False
306,8.0,2.0,3.0,2.0,55.0,58.0,331.0,44.0,177.0,False
307,3.0,2.0,0.0,0.0,5.0,8.0,66.0,3.0,5.0,False
308,5.0,1.0,0.0,0.0,69.0,74.0,401.0,60.0,217.0,False
309,7.0,1.0,2.0,2.0,28.0,37.0,148.0,29.0,16.0,False
311,2.0,0.0,0.0,1.0,9.0,10.0,48.0,3.0,12.0,False
312,4.0,0.0,0.0,1.0,64.0,69.0,409.0,63.0,346.0,False
316,6.0,0.0,1.0,1.0,39.0,45.0,268.0,35.0,123.0,False
317,4.0,1.0,0.0,1.0,19.0,23.0,93.0,16.0,86.0,True
318,20.0,0.0,1.0,1.0,34.0,41.0,225.0,33.0,60.0,False
319,10.0,0.0,2.0,2.0,55.0,65.0,263.0,61.0,180.0,False
320,36.0,1.0,4.0,4.0,20.0,30.0,121.0,29.0,71.0,False
321,31.0,1.0,0.0,3.0,22.0,38.0,121.0,16.0,33.0,False
322,40.0,4.0,1.0,4.0,22.0,27.0,77.0,19.0,44.0,False
323,28.0,1.0,2.0,0.0,48.0,59.0,193.0,47.0,86.0,False
324,23.0,3.0,1.0,3.0,25.0,35.0,150.0,29.0,113.0,False
325,15.0,0.0,0.0,2.0,56.0,64.0,295.0,54.0,195.0,False
326,26.0,3.0,4.0,4.0,20.0,24.0,180.0,26.0,73.0,False
327,13.0,1.0,1.0,0.0,40.0,55.0,132.0,50.0,150.0,False
328,13.0,1.0,2.0,2.0,31.0,46.0,196.0,42.0,104.0,False
329,19.0,1.0,0.0,1.0,33.0,42.0,139.0,30.0,100.0,False
330,12.0,0.0,1.0,2.0,40.0,45.0,164.0,42.0,63.0,False
331,13.0,2.0,1.0,3.0,32.0,38.0,170.0,36.0,105.0,False
332,21.0,1.0,1.0,1.0,33.0,43.0,186.0,32.0,55.0,False
333,16.0,0.0,2.0,1.0,38.0,46.0,184.0,30.0,73.0,False
334,19.0,0.0,2.0,1.0,39.0,54.0,248.0,42.0,123.0,False
335,21.0,2.0,1.0,0.0,38.0,46.0,128.0,43.0,106.0,False
336,18.0,1.0,1.0,1.0,31.0,41.0,105.0,24.0,44.0,False
337,22.0,3.0,2.0,1.0,24.0,34.0,109.0,27.0,32.0,False
338,14.0,4.0,2.0,0.0,17.0,25.0,53.0,18.0,33.0,False
339,9.0,0.0,0.0,0.0,30.0,39.0,103.0,33.0,114.0,False
340,13.0,0.0,0.0,2.0,36.0,49.0,180.0,37.0,59.0,False
341,32.0,6.0,1.0,1.0,41.0,47.0,186.0,34.0,95.0,False
342,16.0,1.0,1.0,2.0,19.0,30.0,105.0,18.0,22.0,False
343,35.0,0.0,1.0,0.0,26.0,36.0,63.0,23.0,32.0,False
344,37.0,0.0,0.0,1.0,29.0,34.0,94.0,29.0,60.0,False
345,27.0,1.0,0.0,2.0,28.0,39.0,49.0,27.0,32.0,False
346,10.0,2.0,0.0,0.0,30.0,37.0,58.0,31.0,51.0,False
347,13.0,1.0,0.0,0.0,32.0,40.0,125.0,32.0,86.0,False
348,11.0,3.0,2.0,4.0,37.0,45.0,154.0,35.0,104.0,False
349,20.0,0.0,0.0,0.0,55.0,60.0,243.0,48.0,83.0,False
350,12.0,1.0,2.0,1.0,24.0,32.0,72.0,23.0,34.0,False
351,30.0,3.0,0.0,1.0,23.0,28.0,52.0,20.0,28.0,False
352,11.0,0.0,0.0,1.0,46.0,60.0,290.0,52.0,109.0,False
353,31.0,0.0,0.0,1.0,34.0,41.0,106.0,34.0,132.0,False
354,22.0,1.0,0.0,0.0,40.0,50.0,145.0,44.0,178.0,False
355,11.0,1.0,0.0,2.0,40.0,50.0,76.0,33.0,114.0,False
356,12.0,5.0,0.0,1.0,8.0,10.0,36.0,14.0,97.0,False
357,14.0,3.0,0.0,1.0,17.0,22.0,29.0,18.0,113.0,False
358,20.0,1.0,0.0,0.0,14.0,23.0,43.0,19.0,120.0,False
359,2.0,1.0,0.0,1.0,17.0,25.0,69.0,30.0,113.0,False
360,5.0,0.0,0.0,5.0,20.0,24.0,90.0,26.0,125.0,False
361,10.0,1.0,0.0,0.0,14.0,24.0,28.0,28.0,148.0,False
362,20.0,0.0,0.0,1.0,5.0,19.0,31.0,10.0,9.0,False
363,18.0,0.0,0.0,1.0,18.0,22.0,16.0,25.0,169.0,False
364,12.0,0.0,1.0,1.0,4.0,10.0,0.0,9.0,39.0,False
365,14.0,1.0,0.0,0.0,7.0,11.0,5.0,14.0,14.0,False
366,9.0,0.0,0.0,0.0,15.0,18.0,43.0,15.0,57.0,False
367,13.0,2.0,0.0,1.0,13.0,19.0,52.0,19.0,71.0,False
369,4.0,0.0,1.0,0.0,12.0,18.0,56.0,22.0,138.0,False
370,25.0,1.0,0.0,1.0,12.0,24.0,32.0,26.0,134.0,False
371,18.0,5.0,0.0,1.0,21.0,37.0,34.0,35.0,178.0,False
372,19.0,2.0,1.0,0.0,18.0,26.0,59.0,25.0,52.0,False
373,4.0,0.0,0.0,0.0,1.0,5.0,1.0,5.0,4.0,True
374,0.0,0.0,0.0,0.0,4.0,5.0,6.0,8.0,20.0,False
375,11.0,2.0,1.0,4.0,6.0,13.0,15.0,14.0,53.0,True
376,25.0,4.0,1.0,1.0,40.0,55.0,279.0,38.0,140.0,False
377,25.0,6.0,0.0,1.0,68.0,78.0,341.0,62.0,116.0,False
378,27.0,0.0,1.0,2.0,30.0,38.0,203.0,32.0,43.0,False
380,6.0,1.0,2.0,1.0,37.0,52.0,247.0,32.0,87.0,False
381,7.0,0.0,0.0,0.0,60.0,75.0,402.0,46.0,81.0,False
382,14.0,2.0,1.0,2.0,54.0,70.0,365.0,41.0,65.0,False
383,10.0,3.0,0.0,2.0,83.0,91.0,465.0,65.0,194.0,False
384,6.0,2.0,0.0,2.0,72.0,86.0,425.0,63.0,148.0,False
385,11.0,5.0,1.0,3.0,39.0,55.0,336.0,39.0,123.0,False
386,12.0,0.0,1.0,0.0,51.0,61.0,381.0,49.0,167.0,False
387,23.0,8.0,2.0,2.0,61.0,72.0,392.0,53.0,244.0,False
388,17.0,3.0,1.0,4.0,51.0,66.0,383.0,48.0,162.0,False
391,2.0,1.0,1.0,0.0,5.0,10.0,11.0,8.0,74.0,False
396,6.0,0.0,0.0,3.0,42.0,51.0,179.0,34.0,55.0,False
397,13.0,0.0,1.0,1.0,61.0,76.0,499.0,53.0,225.0,False
398,0.0,0.0,0.0,0.0,7.0,9.0,40.0,4.0,5.0,False
400,0.0,5.0,2.0,3.0,21.0,31.0,158.0,25.0,166.0,False
405,4.0,0.0,0.0,0.0,11.0,13.0,47.0,20.0,106.0,False
406,4.0,0.0,1.0,0.0,7.0,7.0,40.0,9.0,65.0,False
407,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,False
408,10.0,2.0,0.0,0.0,59.0,71.0,330.0,61.0,215.0,False
409,10.0,2.0,1.0,2.0,12.0,17.0,138.0,14.0,90.0,False
411,4.0,0.0,0.0,0.0,16.0,20.0,44.0,20.0,131.0,False
412,23.0,0.0,2.0,2.0,31.0,46.0,71.0,56.0,181.0,False
413,13.0,0.0,0.0,0.0,24.0,39.0,58.0,38.0,177.0,False
414,16.0,3.0,3.0,0.0,20.0,33.0,153.0,36.0,257.0,False
415,4.0,4.0,1.0,3.0,28.0,44.0,165.0,51.0,367.0,False
416,17.0,3.0,2.0,4.0,25.0,33.0,76.0,31.0,124.0,False
417,17.0,3.0,1.0,2.0,39.0,44.0,343.0,46.0,344.0,False
418,8.0,2.0,2.0,0.0,44.0,59.0,186.0,55.0,339.0,False
419,26.0,6.0,2.0,0.0,26.0,36.0,168.0,40.0,269.0,False
420,26.0,1.0,2.0,2.0,27.0,40.0,231.0,32.0,151.0,False
421,7.0,1.0,0.0,3.0,21.0,28.0,98.0,31.0,381.0,False
422,24.0,7.0,2.0,1.0,17.0,33.0,66.0,29.0,139.0,False
