,Press_int,Tackles,Interceptions,Blocks_int,Completed Passes,Attempted Passes,Distance Passes,Carries_int,Distance Carries,0
9220,19.0,1.0,3.0,1.0,60.0,79.0,350.0,72.0,314.0,False
9221,11.0,2.0,1.0,1.0,64.0,80.0,448.0,57.0,151.0,False
9222,10.0,1.0,1.0,1.0,59.0,81.0,327.0,55.0,60.0,False
9223,23.0,0.0,0.0,1.0,61.0,73.0,356.0,56.0,184.0,False
9224,15.0,0.0,1.0,0.0,46.0,64.0,217.0,51.0,105.0,False
9225,15.0,1.0,0.0,3.0,35.0,52.0,218.0,36.0,139.0,False
9226,6.0,1.0,1.0,1.0,68.0,91.0,421.0,68.0,207.0,False
9227,12.0,2.0,1.0,0.0,80.0,100.0,335.0,76.0,288.0,False
9228,18.0,2.0,3.0,6.0,49.0,57.0,359.0,50.0,97.0,False
9229,16.0,1.0,1.0,1.0,51.0,65.0,251.0,51.0,172.0,False
9230,13.0,0.0,1.0,0.0,38.0,53.0,173.0,46.0,84.0,False
9231,21.0,2.0,0.0,0.0,61.0,73.0,330.0,58.0,111.0,False
9232,34.0,2.0,2.0,3.0,36.0,55.0,175.0,44.0,115.0,False
9233,9.0,1.0,2.0,3.0,60.0,85.0,178.0,73.0,235.0,False
9234,25.0,2.0,2.0,2.0,45.0,56.0,174.0,53.0,134.0,False
9235,8.0,0.0,0.0,1.0,74.0,91.0,474.0,66.0,265.0,False
9236,15.0,0.0,2.0,1.0,45.0,65.0,371.0,45.0,184.0,False
9237,9.0,2.0,1.0,2.0,15.0,29.0,230.0,6.0,24.0,False
9238,12.0,1.0,2.0,1.0,31.0,48.0,268.0,19.0,51.0,False
9239,11.0,2.0,0.0,4.0,45.0,68.0,355.0,36.0,69.0,False
9240,2.0,1.0,0.0,1.0,36.0,53.0,143.0,31.0,125.0,False
9241,6.0,2.0,3.0,1.0,56.0,76.0,336.0,46.0,68.0,False
9242,4.0,4.0,1.0,1.0,44.0,62.0,513.0,33.0,70.0,False
9243,20.0,2.0,3.0,3.0,45.0,65.0,318.0,37.0,183.0,False
9244,14.0,2.0,1.0,1.0,48.0,59.0,223.0,48.0,278.0,False
9245,23.0,6.0,2.0,3.0,22.0,38.0,203.0,19.0,43.0,False
