game1_passaccuracy,game2_passaccuracy,game1_duelaccuracy,game2_duelaccuracy,mean_passaccuracy,mean_duelaccuracy,games injured,label
0.9090909090909092,0.9189189189189191,0.42857142857142855,0.2777777777777778,0.8797327394209354,0.3626373626373626,9,False
0.9189189189189191,0.9166666666666666,0.2777777777777778,0.3809523809523809,0.8797327394209354,0.3626373626373626,9,False
0.9166666666666666,0.8367346938775511,0.3809523809523809,0.7058823529411765,0.8797327394209354,0.3626373626373626,9,False
0.8367346938775511,0.8901098901098901,0.7058823529411765,0.3684210526315789,0.8797327394209354,0.3626373626373626,9,False
0.8901098901098901,0.813953488372093,0.3684210526315789,0.35294117647058826,0.8797327394209354,0.3626373626373626,9,False
0.813953488372093,0.8292682926829268,0.35294117647058826,0.15384615384615385,0.8797327394209354,0.3626373626373626,9,False
0.8292682926829268,0.942528735632184,0.15384615384615385,0.2727272727272727,0.8797327394209354,0.3626373626373626,9,False
0.942528735632184,0.8918918918918919,0.2727272727272727,0.14285714285714285,0.8797327394209354,0.3626373626373626,9,False
0.8918918918918919,0.7272727272727273,0.14285714285714285,0.3076923076923077,0.8797327394209354,0.3626373626373626,9,True
0.9125,,0.5,,0.8797327394209354,0.3626373626373626,9,False
,0.8767123287671232,,0.3333333333333333,0.8797327394209354,0.3626373626373626,9,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,True
,0.5,,0.0,0.6888888888888889,0.25862068965517243,27,False
0.5,,0.0,,0.6888888888888889,0.25862068965517243,27,False
,0.0,,0.5,0.6888888888888889,0.25862068965517243,27,False
0.0,1.0,0.5,0.25,0.6888888888888889,0.25862068965517243,27,False
1.0,0.7368421052631579,0.25,0.4666666666666667,0.6888888888888889,0.25862068965517243,27,False
0.7368421052631579,,0.4666666666666667,,0.6888888888888889,0.25862068965517243,27,False
,0.6666666666666666,,0.2857142857142857,0.6888888888888889,0.25862068965517243,27,False
0.6666666666666666,,0.2857142857142857,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
,,,,0.6888888888888889,0.25862068965517243,27,False
1.0,0.912280701754386,,0.4166666666666667,0.8123249299719888,0.39690721649484534,0,False
0.912280701754386,0.6666666666666666,0.4166666666666667,0.0,0.8123249299719888,0.39690721649484534,0,False
0.6666666666666666,0.8235294117647058,0.0,0.4545454545454545,0.8123249299719888,0.39690721649484534,0,False
0.8235294117647058,0.8,0.4545454545454545,0.2777777777777778,0.8123249299719888,0.39690721649484534,0,True
,,,,0.8123249299719888,0.39690721649484534,0,False
,,,,0.8123249299719888,0.39690721649484534,0,False
,0.9117647058823528,,0.5384615384615384,0.8123249299719888,0.39690721649484534,0,False
0.9117647058823528,0.925925925925926,0.5384615384615384,0.5,0.8123249299719888,0.39690721649484534,0,True
0.8125,,0.0,,0.8123249299719888,0.39690721649484534,0,False
0.7692307692307693,0.7692307692307693,0.5,0.5714285714285714,0.8123249299719888,0.39690721649484534,0,False
0.7692307692307693,0.8235294117647058,0.5714285714285714,0.625,0.8123249299719888,0.39690721649484534,0,False
0.8235294117647058,,0.625,,0.8123249299719888,0.39690721649484534,0,False
,0.8,,0.2307692307692308,0.8123249299719888,0.39690721649484534,0,False
0.8,0.68,0.2307692307692308,0.2916666666666667,0.8123249299719888,0.39690721649484534,0,False
0.68,0.8421052631578947,0.2916666666666667,0.3478260869565217,0.8123249299719888,0.39690721649484534,0,False
0.8421052631578947,0.48,0.3478260869565217,0.6086956521739131,0.8123249299719888,0.39690721649484534,0,False
0.48,0.8181818181818182,0.6086956521739131,0.6666666666666666,0.8123249299719888,0.39690721649484534,0,False
,,,,0.746268656716418,0.1875,0,False
,,,,0.746268656716418,0.1875,0,False
,0.6521739130434783,,0.2222222222222222,0.746268656716418,0.1875,0,False
0.6521739130434783,0.8076923076923077,0.2222222222222222,0.2,0.746268656716418,0.1875,0,False
0.8076923076923077,,0.2,,0.746268656716418,0.1875,0,False
,,,,0.746268656716418,0.1875,0,True
0.7872340425531915,0.8813559322033898,0.5333333333333333,0.6,0.8610301263362488,0.49025069637883006,0,False
0.8813559322033898,0.8333333333333334,0.6,0.4,0.8610301263362488,0.49025069637883006,0,False
0.8333333333333334,,0.4,,0.8610301263362488,0.49025069637883006,0,False
,0.951219512195122,,0.4666666666666667,0.8610301263362488,0.49025069637883006,0,False
0.951219512195122,0.8928571428571429,0.4666666666666667,0.3636363636363637,0.8610301263362488,0.49025069637883006,0,False
