,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
5629,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
5630,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
5631,90,1,0,35,11,2,0,2,0.0,0.0,0.0,2,0,27,31,87.1,251,26,44,0,0
5632,72,0,0,21,23,1,0,0,0.0,0.0,0.0,1,1,15,18,83.3,46,14,6,0,0
5633,11,,,,,,,,,,,,,,,,,,,,
5634,58,,,,,,,,,,,,,,,,,,,,
5635,72,,,,,,,,,,,,,,,,,,,,
5636,26,,,,,,,,,,,,,,,,,,,,
5637,90,,,,,,,,,,,,,,,,,,,,
5638,90,,,,,,,,,,,,,,,,,,,,
5639,90,,,,,,,,,,,,,,,,,,,,
5640,90,,,,,,,,,,,,,,,,,,,,
5641,90,,,,,,,,,,,,,,,,,,,,
5642,90,,,,,,,,,,,,,,,,,,,,
5643,90,,,,,,,,,,,,,,,,,,,,
5644,90,,,,,,,,,,,,,,,,,,,,
5645,90,,,,,,,,,,,,,,,,,,,,
5646,90,0,0,68,38,1,4,3,0.0,0.0,0.0,1,0,41,55,74.5,446,37,72,0,2
5647,82,0,0,33,11,0,1,1,0.0,0.0,0.0,1,0,21,31,67.7,231,21,18,0,0
5648,73,1,1,59,15,1,3,2,0.0,0.0,0.2,2,0,36,53,67.9,452,39,137,2,2
5649,90,1,0,73,20,8,0,3,0.0,0.0,0.0,0,0,38,56,67.9,377,41,102,2,2
5650,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play"
5651,90,0,0,74,21,3,0,0,0.0,0.0,0.0,2,0,48,64,75.0,445,45,133,0,0
5652,90,0,0,57,20,6,2,1,0.0,0.0,0.0,0,0,30,45,66.7,343,28,71,0,0
5653,90,0,0,64,21,2,0,2,0.0,0.0,0.0,3,0,38,56,67.9,455,34,72,1,1
5654,90,1,1,68,16,0,4,3,0.0,0.0,0.1,3,0,44,58,75.9,388,45,134,1,1
5655,90,1,0,55,23,2,2,1,0.0,0.0,0.0,2,0,27,47,57.4,233,34,52,0,0
5656,90,0,0,67,5,1,2,2,0.0,0.0,0.1,1,0,42,57,73.7,400,45,98,0,0
5657,90,1,1,51,14,0,2,0,0.0,0.0,0.2,3,0,33,43,76.7,508,34,85,1,2
5658,90,1,0,66,7,5,0,1,0.0,0.0,0.0,1,0,47,57,82.5,345,50,131,1,2
5659,90,0,0,96,8,3,1,6,0.0,0.0,0.3,8,0,63,84,75.0,836,59,89,0,0
5660,90,0,0,52,20,2,0,0,0.0,0.0,0.0,1,0,24,43,55.8,261,28,86,1,2
5661,90,0,0,66,5,4,1,1,0.0,0.0,0.1,2,0,43,61,70.5,519,42,96,0,0
