0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Sauli Väisänen,0,0,0,0,0,0,0,0,0, Knock, Knock, Knock,0,0, Influenza,0,0, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Biceps femoris muscle injury, Biceps femoris muscle injury,0,0
Dejan Kulusevski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Seculin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simone Romagnoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad, Hamstring Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nícolas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension,0,0,0,0,0,0,0,0,0,0,0
Thomas Strakosha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miralem Pjanic,0,0,0,0,0,0, Muscular problems, Muscular problems,0,0,0,not in squad,0,0,0,0,0,0, Muscle Fatigue,0,0,0,0,0,0,0,0,0,0,0,0,0, Contracture,0,0, Yellow card suspension,0,0
Nikola Milenkovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Indirect card suspension,0,0,0,0,0,0,0,0,0,0,0,0
Pol Lirola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0, Meniscal Injury, Meniscal Injury, Meniscal Injury, Meniscal Injury, Meniscal Injury, Meniscal Injury, Meniscal Injury
Luca Ceppitelli,0,0,0,0,0, Adductor problems, Adductor problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0
Mattia Valoti,0,0,0,0,0,0,0,0,0, Thigh Problems,0,0, Yellow card suspension,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0, Calf Injury,0,0,0,0,0,0,0, Biceps femoris muscle injury, Biceps femoris muscle injury, Biceps femoris muscle injury
Stephane Omeonga,0,0,0,0,0,0, Red card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0
Hans Hateboer,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Lombardi,0, Distortion of the ankle,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad
Marko Pjaca, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury, Cruciate Ligament Injury,With U19,With U19,With U19,With U19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Molinaro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Fibula Fracture,0, Fibula Fracture, Fibula Fracture, Fibula Fracture,0,0,0,0,0,0,0,0
Maxi López,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Krafth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Lumbago,0,0,0,0,0,0,0,0
Andrea Marcucci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ante Rebic,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianluca Scamacca,not in squad,0,With U19,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Puggioni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Red card suspension,0,0,0,0,0,0,0,0,0,0,0
Nicolás Burdisso,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0
Cengiz Ünder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury,0,0,0,0,0,0,0
Nicholas Pierini,not in squad,0,With U19,With U19,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,With U19,With U19,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marco Andreolli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0
Riccardo Saponara, Knee Problems, Knee Problems, Knee Problems,With U19,0,0,0, Foot Injury, Foot Injury, Foot Injury, Foot Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0
Mattia Vitale,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ewandro Costa,0,not in squad,not in squad,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,0,not in squad,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingsley Michael,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrés Schetino,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Biglia, Biceps femoris muscle injury,0,0,0,0,0,0,0,0,0,0, Inflammation,0,not in squad,0,not in squad,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0, Lumbar Vertebra Fracture, Lumbar Vertebra Fracture,0,0
Daniele De Rossi,0,0, Calf Problems,0,0,0,0,0,0,0,0,0,0,0, Red card suspension, Red card suspension,0,0,0, Muscular problems, Calf Problems,0, Calf Problems,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0
Lukas Zima,0,not in squad,not in squad,0,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Laxalt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury, Hamstring Injury, Hamstring Injury,0
Jagos Vukovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,not in squad
Salvatore Elia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrea Cossu,0,0,0,0,0,0, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems, Muscular problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0
Federico Fazio,0,0,0,0,0,0,0,0, Distortion of the ankle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0,0,0,0,0,0,0
Joel Obi,0,0,0, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Hamstring Injury,0,0,0,0,0, Muscle Fatigue, Muscle Fatigue, Muscle Fatigue,0,0
Andrea Danzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahmad Benali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture
Strahinja Tanasijevic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,With U19,With U19,not in squad,With U19,not in squad,not in squad,not in squad,not in squad,With U19,With U19,With U19,With U19,not in squad,not in squad
Luca Sparandeo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lorenzo Polvani,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devid Eugene Bouah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
