name,Min,Sh,SoT,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
Abdallah-Ndour-,90.0,0.0,0.0,79.86607142857143,14.696428571428571,2.607142857142857,0.6071428571428572,4.383928571428571,0.0,0.0,0.30625,12.25,0.0,48.089285714285715,61.223214285714285,71.125,341.67857142857144,46.48214285714286,414.50892857142856,0.0,0.0
Abdoul-Camara-,90.0,1.5301401684155442,0.4575892857142857,46.225694411738736,10.459026531464103,0.7354542778649922,0.534823603273778,0.46054309881847477,0.098941163003663,0.098941163003663,0.32107460208963967,2.1676954242490125,0.5844155844155844,25.58510323096382,35.56023693781306,71.52142857142856,99.0876126006382,37.66247255832773,204.87826603511706,1.7443429082865614,2.3531864457015272
Abdoulaye-Bamba-,90.0,0.2222222222222222,0.05555555555555555,58.21405228758171,8.347222222222221,1.0555555555555556,0.7810457516339869,1.457516339869281,0.0,0.0,0.01666666666666667,1.4583333333333333,0.1111111111111111,38.0735294117647,50.34395424836602,75.52222222222221,295.75816993464053,35.05882352941176,103.88071895424838,0.6666666666666666,0.9444444444444444
Abdoulaye-Toure-,90.0,1.2927448227448228,0.3842857142857143,61.24150903846455,17.19561441090715,2.28492423899918,1.8066975881261593,1.7750448779020207,0.05016321516321517,0.05016321516321517,0.014285714285714285,2.364400895009794,0.34285714285714286,38.470387464930795,48.118435796117296,78.6257142857143,232.2339150431188,40.69156350517006,110.65940583120911,1.2992974238875878,1.7064402810304449
Ablie-Jallow-,90.0,2.288135593220339,0.0,45.16949152542373,3.8877118644067794,1.25,2.7754237288135593,1.5254237288135593,0.15254237288135594,0.15254237288135594,0.125,2.913135593220339,0.0,23.728813559322035,30.529661016949152,77.25,91.19703389830508,37.88135593220339,70.41313559322035,2.1504237288135593,2.7754237288135593
Adam-Lang-,90.0,0.0,0.0,50.06866416978776,10.470661672908864,1.2259675405742823,1.229712858926342,0.6741573033707865,0.0,0.0,0.0,0.0,0.0,36.54931335830212,42.90511860174782,84.23333333333333,223.71785268414484,33.200998751560554,104.98501872659176,0.0,0.0
Adama-Diakhaby-,90.0,0.9883128859623951,0.25286832254404085,57.64711782403209,27.46687747095771,1.4833341937627407,2.493643496574124,3.9700202370522,0.12371570097744208,0.12371570097744208,0.05741013715302636,1.083758073128902,0.3409552897498312,15.02493741584509,38.264118314607856,58.03157894736843,36.74905132763173,35.40217825810633,170.4169153728162,0.9714212044317022,2.720391178224786
Adama-Mbengue-,90.0,0.8421052631578947,0.05263157894736842,58.49595141700405,16.82186234817814,3.4473684210526314,1.1781376518218623,1.9676113360323888,0.021052631578947368,0.021052631578947368,0.09554655870445346,1.700404858299595,0.0,27.85222672064777,44.75506072874494,63.35789473684209,302.67004048582993,33.09919028340081,184.82995951417004,1.54251012145749,2.720647773279352
Adama-Niane-,90.0,3.3246226888649133,1.2449243061891284,37.89659671190008,18.599027224410786,0.6299935237596048,0.22192513368983957,0.7686623415728078,0.6887903821868914,0.6418206852171945,0.040204865556978234,2.2682446998252055,0.16290231507622813,15.737887164933916,24.130906333160922,64.62424242424242,28.376159720301487,23.266020325235672,73.013531949291,0.9713250751118914,1.7817119133137893
Adama-Soumaoro-,90.0,0.081374321880651,0.0,51.932753164556964,2.9851943942133814,0.8135171790235081,1.537748643761302,2.294642857142857,0.0081374321880651,0.0081374321880651,0.0,0.14285714285714285,0.0,39.5873643761302,43.75113019891501,90.87857142857142,256.0766274864376,35.04859855334539,141.38155515370707,0.14285714285714285,0.21428571428571427
