0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Jessy Deminguet,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,not in squad,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Letellier,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Férébory Doré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,not in squad,0
Vincent Peugnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Marié,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,not in squad
Kévin Rimane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelo Fulgini,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,not in squad
Safwan Mbaé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christophe Kerbrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lacina Traoré,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,not in squad
Préjuce Nakoulma,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0, Muscle Injury, Muscle Injury, Muscle Injury, Muscle Injury,0,0,not in squad,not in squad,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,not in squad,not in squad
Vincent Pajot,not in squad,not in squad,not in squad,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,not in squad,0,0,0,0,not in squad,not in squad,not in squad,0,0
Philipp Wollscheid,0,0,0,0,not in squad,not in squad,0,not in squad,not in squad,0,not in squad,0,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maxime Bernauer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ludovic Butelle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Haïdara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathieu Michel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vincent Koziello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mouctar Diakhaby,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad
Marlon,0,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0, Indirect card suspension,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0
Fouad Chafik,not in squad,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,not in squad,not in squad,not in squad,0,0,0,0,0,0,0,0,0
Matthieu Dreyer,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,not in squad,not in squad,not in squad,0,0
Sébastien Salles-Lamonge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernani,0,0,0,not in squad,0,0,0,0,not in squad,0,0,0,not in squad,0,0,0,0,0,0,not in squad,0,not in squad,not in squad,not in squad,0,not in squad,not in squad,0,0,not in squad,not in squad,not in squad,not in squad,0,0,0,not in squad,0
Mike Maignan,0,0, Red card suspension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0
Sabri Toufiqui,0,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad
Naïm Sliti,0,0,0,0,0,0,0,0,0,0, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre, Torn Muscle Fibre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Tousart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
François Bellugou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0
Sergi Darder,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karl-Johan Johnsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamil Glik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Yellow card suspension,0,0,0,0, Hamstring Injury,0,0,0,0,0
Kévin N'Doram, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury, Shoulder Injury,0,not in squad,0,0, Thigh Muscle Strain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Lima,not in squad,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,not in squad,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neymar,No eligibility,0,0,0,0,0, Minor Knock,0,0,0, Indirect card suspension, Minor Knock,0,0,0,0, Yellow card suspension,0,0, Knock,0, Thigh Problems,0,0,0,0,0, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture, Metatarsal Fracture
Alexander Kacaniklic,0,0,not in squad,not in squad,0,not in squad,not in squad, Foot Injury,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,not in squad,0,not in squad,0,not in squad,0,0,0,0,0,0,not in squad,not in squad,0,0,not in squad,not in squad,0,not in squad,not in squad,0,0,0
Baptiste Guillaume,0,0,0,not in squad,0,0,0,0,0,not in squad,0,0,0,0,not in squad,0,0,not in squad,not in squad,0,0,0,not in squad,not in squad,not in squad,0,0,0,not in squad,0,0,0,0,not in squad,0,0,not in squad,0
Nicolas de Préville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,not in squad,0,0,0,0,0,0,0,0,0,0,not in squad,0,0
