,game1_passaccuracy,game2_passaccuracy,game1_duelaccuracy,game2_duelaccuracy,mean_passaccuracy,mean_duelaccuracy,label
0,0.9090909090909092,0.9189189189189191,0.42857142857142855,0.2777777777777778,0.8797327394209354,0.3626373626373626,False
1,0.9189189189189191,0.9166666666666666,0.2777777777777778,0.3809523809523809,0.8797327394209354,0.3626373626373626,False
2,0.9166666666666666,0.8367346938775511,0.3809523809523809,0.7058823529411765,0.8797327394209354,0.3626373626373626,False
3,0.8367346938775511,0.8901098901098901,0.7058823529411765,0.3684210526315789,0.8797327394209354,0.3626373626373626,False
4,0.8901098901098901,0.813953488372093,0.3684210526315789,0.35294117647058826,0.8797327394209354,0.3626373626373626,False
5,0.813953488372093,0.8292682926829268,0.35294117647058826,0.15384615384615385,0.8797327394209354,0.3626373626373626,False
6,0.8292682926829268,0.942528735632184,0.15384615384615385,0.2727272727272727,0.8797327394209354,0.3626373626373626,False
7,0.942528735632184,0.8918918918918919,0.2727272727272727,0.14285714285714285,0.8797327394209354,0.3626373626373626,False
8,0.8918918918918919,0.7272727272727273,0.14285714285714285,0.3076923076923077,0.8797327394209354,0.3626373626373626,True
9,0.9125,,0.5,,0.8797327394209354,0.3626373626373626,False
10,,0.8767123287671232,,0.3333333333333333,0.8797327394209354,0.3626373626373626,False
11,0.9529411764705882,0.8414634146341463,0.5714285714285714,0.55,0.8915611814345992,0.5232558139534884,False
12,0.8414634146341463,0.927710843373494,0.55,0.4705882352941176,0.8915611814345992,0.5232558139534884,False
13,0.927710843373494,0.9152542372881356,0.4705882352941176,0.4705882352941176,0.8915611814345992,0.5232558139534884,False
14,0.9152542372881356,0.9365079365079364,0.4705882352941176,0.42857142857142855,0.8915611814345992,0.5232558139534884,False
15,0.9365079365079364,0.7647058823529411,0.42857142857142855,0.6666666666666666,0.8915611814345992,0.5232558139534884,False
16,0.7647058823529411,0.8363636363636363,0.6666666666666666,0.1875,0.8915611814345992,0.5232558139534884,False
17,0.8363636363636363,0.8846153846153846,0.1875,0.4444444444444444,0.8915611814345992,0.5232558139534884,False
18,0.8846153846153846,0.8518518518518519,0.4444444444444444,0.42105263157894735,0.8915611814345992,0.5232558139534884,False
19,0.8518518518518519,0.8913043478260869,0.42105263157894735,0.375,0.8915611814345992,0.5232558139534884,False
20,0.8913043478260869,0.8933333333333333,0.375,0.5454545454545454,0.8915611814345992,0.5232558139534884,False
21,0.8933333333333333,0.8939393939393939,0.5454545454545454,0.4615384615384616,0.8915611814345992,0.5232558139534884,False
22,0.8939393939393939,0.9692307692307692,0.4615384615384616,0.8888888888888888,0.8915611814345992,0.5232558139534884,False
23,0.9692307692307692,0.8870967741935484,0.8888888888888888,0.5625,0.8915611814345992,0.5232558139534884,False
24,0.8870967741935484,0.8409090909090909,0.5625,0.5833333333333334,0.8915611814345992,0.5232558139534884,False
25,0.8409090909090909,0.9428571428571428,0.5833333333333334,0.4545454545454545,0.8915611814345992,0.5232558139534884,False
26,0.9428571428571428,0.9404761904761904,0.4545454545454545,0.5384615384615384,0.8915611814345992,0.5232558139534884,False
27,0.9404761904761904,0.8679245283018868,0.5384615384615384,0.5,0.8915611814345992,0.5232558139534884,False
28,0.8679245283018868,0.7708333333333334,0.5,0.4761904761904762,0.8915611814345992,0.5232558139534884,False
29,0.7708333333333334,0.8518518518518519,0.4761904761904762,0.8,0.8915611814345992,0.5232558139534884,False
30,0.8518518518518519,0.9142857142857144,0.8,0.5,0.8915611814345992,0.5232558139534884,False
31,0.9142857142857144,0.967032967032967,0.5,0.4615384615384616,0.8915611814345992,0.5232558139534884,False
32,0.967032967032967,0.925925925925926,0.4615384615384616,0.9047619047619048,0.8915611814345992,0.5232558139534884,False
33,0.925925925925926,0.8846153846153846,0.9047619047619048,0.4,0.8915611814345992,0.5232558139534884,False
34,0.8846153846153846,0.84375,0.4,0.5416666666666666,0.8915611814345992,0.5232558139534884,False
35,0.84375,0.859375,0.5416666666666666,0.5882352941176471,0.8915611814345992,0.5232558139534884,False
36,0.859375,0.9117647058823528,0.5882352941176471,0.75,0.8915611814345992,0.5232558139534884,False
37,0.8796296296296297,0.8095238095238095,0.5,0.5454545454545454,0.8915611814345992,0.5232558139534884,False
38,0.8095238095238095,0.875,0.5454545454545454,0.45,0.8915611814345992,0.5232558139534884,False
39,0.875,0.9148936170212766,0.45,0.6842105263157895,0.8915611814345992,0.5232558139534884,False
40,0.9148936170212766,0.875,0.6842105263157895,0.4545454545454545,0.8915611814345992,0.5232558139534884,False
41,0.875,0.9107142857142856,0.4545454545454545,0.6111111111111112,0.8915611814345992,0.5232558139534884,False
42,0.9107142857142856,0.8888888888888888,0.6111111111111112,0.3125,0.8915611814345992,0.5232558139534884,False
43,0.8888888888888888,0.8732394366197183,0.3125,0.5,0.8915611814345992,0.5232558139534884,False
44,0.8732394366197183,0.8767123287671232,0.5,0.2307692307692308,0.8915611814345992,0.5232558139534884,False
45,0.6666666666666666,0.7619047619047619,0.6086956521739131,0.35294117647058826,0.7406340057636888,0.3800978792822186,False
46,0.7619047619047619,0.8108108108108109,0.35294117647058826,0.4,0.7406340057636888,0.3800978792822186,False
47,0.8108108108108109,0.8125,0.4,0.3157894736842105,0.7406340057636888,0.3800978792822186,False
48,0.8125,0.8648648648648649,0.3157894736842105,0.4444444444444444,0.7406340057636888,0.3800978792822186,False
49,0.8648648648648649,0.9019607843137256,0.4444444444444444,0.375,0.7406340057636888,0.3800978792822186,False
50,0.9019607843137256,0.7407407407407407,0.375,0.5333333333333333,0.7406340057636888,0.3800978792822186,False
